 	 269.674 	 1.01901
 	 31.0425 	 1.04233
 	 6.1423 	 1.06457
 	 7.11058 	 1.15444
 	 0.439312 	 1.15523
 	 0.777095 	 1.24203
 	 279.732 	 1.01059
 	 48.0841 	 1.02001
 	 8.20378 	 1.04155
 	 5.09029 	 1.07891
 	 0.517954 	 1.09259
 	 0.452847 	 1.17089
 	 189.988 	 1.01081
 	 35.2536 	 1.01899
 	 6.53904 	 1.04379
 	 2.9182 	 1.07508
 	 0.537614 	 1.10131
 	 0.110553 	 1.19984
 	 36.387 	 1.01691
 	 8.72269 	 1.02883
 	 2.4154 	 1.06714
 	 0.236254 	 1.31066
 	 0.0954039 	 1.16371
 	 0.205957 	 1.32269
 	 29.6719 	 1.06815
 	 9.40346 	 1.08181
 	 3.06228 	 1.12059
 	 0.512696 	 1.53598
 	 0.12119 	 1.5757
 	 0.0605948 	 2.2873
 	 53.0873 	 1.03613
 	 24.3124 	 1.03985
 	 6.75563 	 1.06684
 	 0.643655 	 1.35693
 	 0.793529 	 1.21521
 	 0.0151487 	 2.04051
 	 45.2099 	 1.03173
 	 24.9368 	 1.03382
 	 6.76466 	 1.058
 	 0.77838 	 1.24385
 	 0.205957 	 1.18216
 	 0 	 1
 	 16.6042 	 1.04289
 	 10.4944 	 1.04456
 	 1.84297 	 1.07672
 	 0.0954039 	 1.32953
 	 0.110553 	 1.3441
 	 0 	 1
 	 2.0432 	 1.33412
 	 1.16012 	 1.2424
 	 0.628507 	 1.29174
 	 0.0151487 	 4.67877
 	 0.0151487 	 3.12394
 	 0.0302974 	 5.50555
 	 4.03726 	 1.15444
 	 5.2427 	 1.10781
 	 2.25037 	 1.13349
 	 0.0954039 	 1.97856
 	 0.190808 	 1.51316
 	 0 	 1
 	 5.83479 	 1.12668
 	 6.69342 	 1.08617
 	 3.84645 	 1.10555
 	 0 	 1
 	 0.0954039 	 1.41899
 	 0 	 1
 	 1.87252 	 1.17194
 	 2.4805 	 1.10362
 	 1.3508 	 1.12522
 	 0.0954039 	 2.45144
 	 0.0954039 	 1.5566
 	 0 	 1
