898.913	1.02848
103.475	1.08008
20.4743	1.17669
23.7019	1.24814
1.46437	1.62746
2.59032	1.67068
98.9062	1.08895
31.3449	1.13003
10.2076	1.26709
1.70899	2.00226
0.403965	1.76411
0.201983	2.89935
6.81067	1.31759
3.86706	1.28647
2.09502	1.54869
0.0504956	3.16646
0.0504956	3.68662
0.100991	255.946
932.439	1.02545
160.28	1.06134
27.3459	1.14817
16.9676	1.21459
1.72651	1.52
1.50949	1.81191
176.958	1.05618
81.0415	1.08193
22.5188	1.16469
2.14552	1.54904
2.6451	1.59461
0.0504956	5.65333
13.4575	1.2005
17.4757	1.16602
7.50125	1.27921
0.318013	3.23705
0.636026	1.98769
0	6.16773
633.293	1.03163
117.512	1.07227
21.7968	1.19388
9.72734	1.29681
1.79205	1.67609
0.368509	2.2213
150.7	1.05902
83.1228	1.08329
22.5489	1.1604
2.5946	1.50631
0.686522	1.64301
0	2.25829
19.4493	1.19842
22.3114	1.16021
12.8215	1.22677
0	3.20628
0.318013	1.90846
0	3.72944
121.29	1.0684
29.0756	1.14975
8.05132	1.38072
0.787513	1.76039
0.318013	2.12798
0.686522	3.9759
55.3472	1.1051
34.9814	1.13829
6.14324	1.25852
0.318013	1.85339
0.368509	2.78934
0	4.47195
6.24174	1.30072
8.26834	1.23064
4.50268	1.30777
0.318013	7.75037
0.318013	2.27886
0	9.53072
