
66  0.489599 +/- 0.0209914 + 0.243514 - 0.243098  TF = 0.000899998, Ngobs = 544
67  0.881255 +/- 0.0249356 + 0.438816 - 0.438559  TF = 0.000705568, Ngobs = 1249
68  0.110506 +/- 0.00905297 + 0.0552159 - 0.0551838  TF = 0.000741648, Ngobs = 149
69  0.216523 +/- 0.0134541 + 0.109388 - 0.109227  TF = 0.000835998, Ngobs = 259
70  0.0250723 +/- 0.00465581 + 0.0129185 - 0.0129002  TF = 0.000864563, Ngobs = 29
71  221.865 +/- 9.49495 + 22.9352 - 22.5621  TF = 0.406346, Ngobs = 546
72  226.796 +/- 8.78157 + 22.1203 - 21.7157  TF = 0.340024, Ngobs = 667
73  28.5498 +/- 3.29665 + 3.30853 - 3.26578  TF = 0.380664, Ngobs = 75
74  176.43 +/- 8.60892 + 17.4025 - 17.0913  TF = 0.420072, Ngobs = 420
75  412.317 +/- 11.9625 + 37.5812 - 36.793  TF = 0.347068, Ngobs = 1188
76  74.5469 +/- 5.07227 + 7.48191 - 7.35275  TF = 0.345125, Ngobs = 216
77  56.6539 +/- 4.34516 + 5.72302 - 5.6255  TF = 0.333258, Ngobs = 170
78  20.0318 +/- 2.48464 + 2.4928 - 2.4649  TF = 0.308181, Ngobs = 65
79  13.5112 +/- 2.25187 + 2.06985 - 2.03644  TF = 0.375311, Ngobs = 36
80  5.03482 +/- 1.29999 + 1.36982 - 1.36285  TF = 0.335655, Ngobs = 15
81  60.6579 +/- 2.59592 + 10.5882 - 10.5281  TF = 0.111095, Ngobs = 546
82  62.6864 +/- 2.42723 + 10.7295 - 10.6662  TF = 0.0939826, Ngobs = 667
83  7.95683 +/- 0.918775 + 1.45009 - 1.44254  TF = 0.106091, Ngobs = 75
84  48.2184 +/- 2.35282 + 8.28354 - 8.23501  TF = 0.114806, Ngobs = 420
85  114.006 +/- 3.30764 + 19.1078 - 18.9901  TF = 0.0959642, Ngobs = 1188
86  20.8359 +/- 1.4177 + 3.60024 - 3.57939  TF = 0.0964623, Ngobs = 216
87  15.5968 +/- 1.19622 + 2.7009 - 2.68533  TF = 0.091746, Ngobs = 170
88  5.5508 +/- 0.688493 + 1.04245 - 1.03734  TF = 0.085397, Ngobs = 65
89  3.72774 +/- 0.62129 + 0.775265 - 0.7685  TF = 0.103548, Ngobs = 36
90  1.41478 +/- 0.365296 + 0.433315 - 0.431576  TF = 0.094319, Ngobs = 15
91  14.3325 +/- 0.613374 + 3.73331 - 3.72381  TF = 0.02625, Ngobs = 546
92  15.9891 +/- 0.619101 + 4.12865 - 4.11796  TF = 0.0239717, Ngobs = 667
93  2.1498 +/- 0.248237 + 0.571186 - 0.569789  TF = 0.028664, Ngobs = 75
94  11.3445 +/- 0.553553 + 2.93408 - 2.92651  TF = 0.0270106, Ngobs = 420
95  29.2332 +/- 0.848142 + 7.47998 - 7.46025  TF = 0.0246071, Ngobs = 1188
96  5.7252 +/- 0.389551 + 1.48454 - 1.48073  TF = 0.0265056, Ngobs = 216
97  3.87513 +/- 0.297209 + 1.0058 - 1.00322  TF = 0.0227949, Ngobs = 170
98  1.44028 +/- 0.178645 + 0.388207 - 0.387284  TF = 0.0221582, Ngobs = 65
99  0.941731 +/- 0.156955 + 0.267412 - 0.266162  TF = 0.0261592, Ngobs = 36
100  0.401779 +/- 0.103739 + 0.145522 - 0.145105  TF = 0.0267853, Ngobs = 15
101  1.39775 +/- 0.0598182 + 1.04242 - 1.0421  TF = 0.00255998, Ngobs = 546
102  1.24738 +/- 0.0482987 + 0.929294 - 0.929006  TF = 0.00187013, Ngobs = 667
103  0.139894 +/- 0.0161536 + 0.104588 - 0.104556  TF = 0.00186525, Ngobs = 75
104  1.11151 +/- 0.0542362 + 0.828235 - 0.827978  TF = 0.00264645, Ngobs = 420
105  2.26774 +/- 0.0657938 + 1.68763 - 1.6871  TF = 0.00190887, Ngobs = 1188
106  0.35037 +/- 0.0238397 + 0.261157 - 0.261076  TF = 0.00162209, Ngobs = 216
107  0.328593 +/- 0.0252019 + 0.244954 - 0.244878  TF = 0.0019329, Ngobs = 170
108  0.108172 +/- 0.013417 + 0.0810201 - 0.0809952  TF = 0.00166418, Ngobs = 65
109  0.0770139 +/- 0.0128356 + 0.0580921 - 0.0580537  TF = 0.00213927, Ngobs = 36
110  0.0221532 +/- 0.00571994 + 0.0174369 - 0.0174263  TF = 0.00147688, Ngobs = 15
111  20.5162 +/- 2.71744 + 2.59891 - 2.53434  TF = 0.359933, Ngobs = 57
112  4.59741 +/- 1.22871 + 0.912418 - 0.903251  TF = 0.328386, Ngobs = 14
113  33.8968 +/- 3.53399 + 4.04731 - 3.93395  TF = 0.368444, Ngobs = 92
114  14.7409 +/- 2.22227 + 1.97103 - 1.92714  TF = 0.33502, Ngobs = 44
115  3.2262 +/- 0.972736 + 0.705164 - 0.699328  TF = 0.293291, Ngobs = 11
116  4.4109 +/- 1.10273 + 0.780209 - 0.770328  TF = 0.275681, Ngobs = 16
117  1.00057 +/- 0.577677 + 0.199701 - 0.197718  TF = 0.333522, Ngobs = 3
118  1.39311 +/- 0.696556 + 0.36847 - 0.372639  TF = 0.348278, Ngobs = 4
119  8.44242 +/- 1.11823 + 3.60641 - 3.59862  TF = 0.148113, Ngobs = 57
120  2.21089 +/- 0.590886 + 1.00303 - 1.00111  TF = 0.157921, Ngobs = 14
121  14.1689 +/- 1.47721 + 6.02285 - 6.00971  TF = 0.15401, Ngobs = 92
122  6.50662 +/- 0.980909 + 2.79339 - 2.78742  TF = 0.147878, Ngobs = 44
123  1.29693 +/- 0.39104 + 0.600254 - 0.59915  TF = 0.117903, Ngobs = 11
124  1.80229 +/- 0.450574 + 0.801404 - 0.799807  TF = 0.112643, Ngobs = 16
125  0.448954 +/- 0.259203 + 0.2039 - 0.203511  TF = 0.149651, Ngobs = 3
126  0.535651 +/- 0.267826 + 0.260434 - 0.261309  TF = 0.133913, Ngobs = 4
127  3.1595 +/- 0.418485 + 1.66679 - 1.66443  TF = 0.0554298, Ngobs = 57
128  1.79437 +/- 0.479565 + 0.985514 - 0.984227  TF = 0.128169, Ngobs = 14
129  5.96584 +/- 0.621982 + 3.13714 - 3.13267  TF = 0.0648461, Ngobs = 92
130  3.77219 +/- 0.568678 + 1.99655 - 1.99375  TF = 0.0857315, Ngobs = 44
131  0.391983 +/- 0.118187 + 0.21826 - 0.217982  TF = 0.0356349, Ngobs = 11
132  0.634729 +/- 0.158682 + 0.343897 - 0.343435  TF = 0.0396706, Ngobs = 16
133  0.280959 +/- 0.162212 + 0.154424 - 0.154223  TF = 0.0936529, Ngobs = 3
134  0.085955 +/- 0.0429775 + 0.0495431 - 0.0496617  TF = 0.0214887, Ngobs = 4
135  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 57
136  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 14
137  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 92
138  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 44
139  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 11
140  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 16
141  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 3
142  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 4
