
66  0.583605 +/- 0.0247281 + 0.298705 - 0.298262  TF = 0.00104777, Ngobs = 557
67  1.04143 +/- 0.028884 + 0.532954 - 0.53266  TF = 0.000801099, Ngobs = 1300
68  0.131984 +/- 0.0106703 + 0.0677518 - 0.0677146  TF = 0.000862641, Ngobs = 153
69  0.241312 +/- 0.0147681 + 0.124894 - 0.124719  TF = 0.000903792, Ngobs = 267
70  0.0289751 +/- 0.00538054 + 0.0152649 - 0.0152442  TF = 0.00099914, Ngobs = 29
71  235.459 +/- 9.61258 + 21.5921 - 21.1406  TF = 0.392432, Ngobs = 600
72  233.297 +/- 8.73705 + 20.063 - 19.5852  TF = 0.327205, Ngobs = 713
73  29.1414 +/- 3.27866 + 3.07587 - 3.02744  TF = 0.368878, Ngobs = 79
74  187.897 +/- 8.76075 + 16.1912 - 15.8072  TF = 0.408472, Ngobs = 460
75  431.289 +/- 12.0691 + 34.104 - 33.1413  TF = 0.337736, Ngobs = 1277
76  73.0312 +/- 4.9463 + 6.48332 - 6.33854  TF = 0.335006, Ngobs = 218
77  57.6414 +/- 4.30832 + 5.1628 - 5.04956  TF = 0.322019, Ngobs = 179
78  19.3489 +/- 2.36385 + 2.2082 - 2.17849  TF = 0.28879, Ngobs = 67
79  13.4438 +/- 2.21015 + 1.83662 - 1.79913  TF = 0.363346, Ngobs = 37
80  5.40012 +/- 1.35003 + 1.39879 - 1.39091  TF = 0.337508, Ngobs = 16
81  62.2083 +/- 2.53964 + 13.2218 - 13.1708  TF = 0.103681, Ngobs = 600
82  61.8005 +/- 2.31445 + 12.9869 - 12.9357  TF = 0.0866767, Ngobs = 713
83  7.73704 +/- 0.870485 + 1.69343 - 1.68727  TF = 0.0979372, Ngobs = 79
84  49.6424 +/- 2.31459 + 10.4355 - 10.3944  TF = 0.107918, Ngobs = 460
85  114.249 +/- 3.19709 + 23.6959 - 23.5998  TF = 0.0894664, Ngobs = 1277
86  19.3898 +/- 1.31324 + 4.09696 - 4.08096  TF = 0.088944, Ngobs = 218
87  15.2577 +/- 1.14041 + 3.22897 - 3.2164  TF = 0.0852384, Ngobs = 179
88  5.12746 +/- 0.626419 + 1.14412 - 1.14011  TF = 0.0765293, Ngobs = 67
89  3.55857 +/- 0.585026 + 0.837802 - 0.832083  TF = 0.0961777, Ngobs = 37
90  1.43697 +/- 0.359243 + 0.463099 - 0.461415  TF = 0.0898108, Ngobs = 16
91  16.3173 +/- 0.666152 + 4.41535 - 4.40485  TF = 0.0271955, Ngobs = 600
92  16.984 +/- 0.636057 + 4.56384 - 4.55283  TF = 0.0238205, Ngobs = 713
93  2.22349 +/- 0.250162 + 0.61278 - 0.611375  TF = 0.0281454, Ngobs = 79
94  12.9649 +/- 0.604491 + 3.48456 - 3.47615  TF = 0.0281846, Ngobs = 460
95  31.4841 +/- 0.881041 + 8.39299 - 8.37241  TF = 0.0246548, Ngobs = 1277
96  5.56498 +/- 0.376908 + 1.5004 - 1.49681  TF = 0.0255274, Ngobs = 218
97  4.13289 +/- 0.308907 + 1.11537 - 1.1127  TF = 0.0230888, Ngobs = 179
98  1.41828 +/- 0.17327 + 0.395686 - 0.3948  TF = 0.0211683, Ngobs = 67
99  0.967954 +/- 0.159131 + 0.279661 - 0.278395  TF = 0.0261609, Ngobs = 37
100  0.42985 +/- 0.107462 + 0.156117 - 0.15567  TF = 0.0268656, Ngobs = 16
101  1.41275 +/- 0.0576755 + 1.09763 - 1.09732  TF = 0.00235459, Ngobs = 600
102  1.23648 +/- 0.0463064 + 0.959868 - 0.959591  TF = 0.00173419, Ngobs = 713
103  0.131136 +/- 0.014754 + 0.102116 - 0.102087  TF = 0.00165995, Ngobs = 79
104  1.12738 +/- 0.0525645 + 0.875201 - 0.874948  TF = 0.00245083, Ngobs = 460
105  2.2427 +/- 0.0627591 + 1.73935 - 1.73884  TF = 0.00175623, Ngobs = 1277
106  0.335944 +/- 0.022753 + 0.260896 - 0.260821  TF = 0.00154103, Ngobs = 218
107  0.317028 +/- 0.0236958 + 0.246234 - 0.246163  TF = 0.0017711, Ngobs = 179
108  0.0986795 +/- 0.0120556 + 0.0769612 - 0.0769392  TF = 0.00147283, Ngobs = 67
109  0.0725965 +/- 0.0119348 + 0.0568806 - 0.0568457  TF = 0.00196207, Ngobs = 37
110  0.0210605 +/- 0.00526512 + 0.0171398 - 0.0171301  TF = 0.00131628, Ngobs = 16
111  21.4746 +/- 2.72727 + 2.54413 - 2.47108  TF = 0.346364, Ngobs = 62
112  4.44579 +/- 1.18819 + 0.857539 - 0.848334  TF = 0.317556, Ngobs = 14
113  37.2484 +/- 3.65251 + 4.1328 - 3.99722  TF = 0.358158, Ngobs = 104
114  15.2681 +/- 2.22708 + 1.91864 - 1.86975  TF = 0.324852, Ngobs = 47
115  3.38672 +/- 0.977661 + 0.723803 - 0.71748  TF = 0.282226, Ngobs = 12
116  4.35995 +/- 1.05744 + 0.741249 - 0.730991  TF = 0.256467, Ngobs = 17
117  0.968666 +/- 0.559259 + 0.186669 - 0.184662  TF = 0.322889, Ngobs = 3
118  1.41115 +/- 0.705574 + 0.360174 - 0.364525  TF = 0.352787, Ngobs = 4
119  8.58768 +/- 1.09064 + 3.64786 - 3.63982  TF = 0.138511, Ngobs = 62
120  2.11353 +/- 0.564864 + 0.953683 - 0.95182  TF = 0.150966, Ngobs = 14
