
66  0.359123 +/- 0.020734 + 0.178717 - 0.178411  TF = 0.00119708, Ngobs = 300
67  0.811604 +/- 0.0296554 + 0.404396 - 0.404159  TF = 0.00108358, Ngobs = 749
68  0.121638 +/- 0.0114937 + 0.060807 - 0.0607716  TF = 0.00108606, Ngobs = 112
69  0.202959 +/- 0.0165166 + 0.102585 - 0.102434  TF = 0.0013441, Ngobs = 151
70  0.0187322 +/- 0.00519538 + 0.00964609 - 0.00963241  TF = 0.00144094, Ngobs = 13
71  162.544 +/- 8.15783 + 16.5851 - 16.3082  TF = 0.40943, Ngobs = 397
72  145.87 +/- 7.04268 + 14.1407 - 13.8788  TF = 0.340024, Ngobs = 429
73  18.3153 +/- 2.64359 + 2.08966 - 2.0618  TF = 0.38157, Ngobs = 48
74  120.685 +/- 7.13628 + 11.724 - 11.5078  TF = 0.421977, Ngobs = 286
75  267.863 +/- 9.67828 + 24.3502 - 23.8368  TF = 0.34969, Ngobs = 766
76  35.6461 +/- 3.52949 + 3.54528 - 3.48294  TF = 0.349471, Ngobs = 102
77  30.0133 +/- 3.14625 + 2.98561 - 2.93313  TF = 0.329816, Ngobs = 91
78  7.84182 +/- 1.53791 + 0.955524 - 0.944363  TF = 0.301608, Ngobs = 26
79  5.77923 +/- 1.44481 + 0.865458 - 0.850833  TF = 0.361202, Ngobs = 16
80  1.38697 +/- 0.693485 + 0.369841 - 0.367881  TF = 0.346742, Ngobs = 4
81  32.5575 +/- 1.63401 + 7.03487 - 7.00885  TF = 0.0820088, Ngobs = 397
82  29.4658 +/- 1.42262 + 6.29733 - 6.27352  TF = 0.0686848, Ngobs = 429
83  3.72534 +/- 0.537707 + 0.827116 - 0.824218  TF = 0.0776113, Ngobs = 48
84  24.0767 +/- 1.42369 + 5.14784 - 5.12839  TF = 0.0841844, Ngobs = 286
85  53.9744 +/- 1.95017 + 11.3912 - 11.347  TF = 0.0704626, Ngobs = 766
86  7.21833 +/- 0.714721 + 1.55101 - 1.5452  TF = 0.0707679, Ngobs = 102
87  5.99365 +/- 0.628306 + 1.28791 - 1.28309  TF = 0.0658643, Ngobs = 91
88  1.58718 +/- 0.311272 + 0.358875 - 0.357663  TF = 0.0610455, Ngobs = 26
89  1.1674 +/- 0.291851 + 0.282848 - 0.281032  TF = 0.0729628, Ngobs = 16
90  0.271846 +/- 0.135923 + 0.0890816 - 0.0887693  TF = 0.0679615, Ngobs = 4
91  14.0763 +/- 0.706468 + 4.06668 - 4.05827  TF = 0.0354566, Ngobs = 397
92  13.1429 +/- 0.634546 + 3.7739 - 3.766  TF = 0.0306362, Ngobs = 429
93  1.70333 +/- 0.245854 + 0.499721 - 0.498719  TF = 0.035486, Ngobs = 48
94  10.2703 +/- 0.607297 + 2.94977 - 2.9436  TF = 0.0359103, Ngobs = 286
95  23.8666 +/- 0.862335 + 6.80586 - 6.79142  TF = 0.0311574, Ngobs = 766
96  3.25092 +/- 0.321889 + 0.936276 - 0.934328  TF = 0.0318718, Ngobs = 102
97  2.56314 +/- 0.26869 + 0.738208 - 0.736672  TF = 0.0281663, Ngobs = 91
98  0.712821 +/- 0.139796 + 0.211338 - 0.210923  TF = 0.0274162, Ngobs = 26
99  0.520131 +/- 0.130033 + 0.16072 - 0.160086  TF = 0.0325082, Ngobs = 16
100  0.108322 +/- 0.0541612 + 0.041128 - 0.0410207  TF = 0.0270806, Ngobs = 4
101  1.57667 +/- 0.079131 + 1.1777 - 1.17733  TF = 0.00397147, Ngobs = 397
102  1.63375 +/- 0.078878 + 1.21922 - 1.21884  TF = 0.00380827, Ngobs = 429
103  0.228942 +/- 0.0330449 + 0.171407 - 0.171354  TF = 0.00476962, Ngobs = 48
104  1.09824 +/- 0.0649402 + 0.819612 - 0.819358  TF = 0.00383999, Ngobs = 286
105  2.89292 +/- 0.104525 + 2.1567 - 2.15603  TF = 0.00377666, Ngobs = 766
106  0.417059 +/- 0.041295 + 0.311377 - 0.311281  TF = 0.00408881, Ngobs = 102
107  0.276122 +/- 0.0289455 + 0.206154 - 0.20609  TF = 0.00303431, Ngobs = 91
108  0.0909651 +/- 0.0178397 + 0.0682159 - 0.068195  TF = 0.00349866, Ngobs = 26
109  0.0647274 +/- 0.0161818 + 0.0488659 - 0.0488337  TF = 0.00404546, Ngobs = 16
110  0.00846051 +/- 0.00423026 + 0.00665443 - 0.00665039  TF = 0.00211513, Ngobs = 4
111  12.5709 +/- 2.12487 + 1.58667 - 1.54696  TF = 0.359169, Ngobs = 35
112  3.91658 +/- 1.13062 + 0.772947 - 0.765092  TF = 0.326382, Ngobs = 12
113  25.2435 +/- 3.06122 + 3.00937 - 2.92481  TF = 0.371228, Ngobs = 68
114  4.74934 +/- 1.26932 + 0.631754 - 0.617536  TF = 0.339239, Ngobs = 14
115  2.88468 +/- 0.912217 + 0.628171 - 0.622933  TF = 0.288468, Ngobs = 10
116  2.15617 +/- 0.76232 + 0.377397 - 0.372515  TF = 0.269521, Ngobs = 8
117  0.648654 +/- 0.458667 + 0.127783 - 0.126479  TF = 0.324327, Ngobs = 2
118  1.46185 +/- 0.730926 + 0.378594 - 0.383056  TF = 0.365463, Ngobs = 4
119  5.53875 +/- 0.93622 + 2.85003 - 2.84579  TF = 0.15825, Ngobs = 35
120  1.74797 +/- 0.504596 + 0.93772 - 0.936437  TF = 0.145664, Ngobs = 12
121  11.0516 +/- 1.3402 + 5.66825 - 5.65976  TF = 0.162524, Ngobs = 68
122  2.16285 +/- 0.578046 + 1.11662 - 1.11497  TF = 0.154489, Ngobs = 14
123  1.28224 +/- 0.40548 + 0.697925 - 0.696997  TF = 0.128224, Ngobs = 10
124  0.937933 +/- 0.331609 + 0.495846 - 0.495147  TF = 0.117242, Ngobs = 8
125  0.295397 +/- 0.208877 + 0.158431 - 0.158214  TF = 0.147698, Ngobs = 2
126  0.645846 +/- 0.322923 + 0.363007 - 0.363919  TF = 0.161462, Ngobs = 4
127  0.998131 +/- 0.168715 + 1.04918 - 1.0488  TF = 0.028518, Ngobs = 35
128  0.268678 +/- 0.0775606 + 0.285344 - 0.285245  TF = 0.0223898, Ngobs = 12
129  2.13812 +/- 0.259286 + 2.24572 - 2.24492  TF = 0.031443, Ngobs = 68
130  0.244116 +/- 0.0652428 + 0.256805 - 0.256714  TF = 0.0174369, Ngobs = 14
131  0.207697 +/- 0.0656796 + 0.221408 - 0.221331  TF = 0.0207697, Ngobs = 10
132  0.194055 +/- 0.0686088 + 0.205332 - 0.20526  TF = 0.0242569, Ngobs = 8
133  0.0333408 +/- 0.0235755 + 0.0354068 - 0.0353944  TF = 0.0166704, Ngobs = 2
134  0.112855 +/- 0.0564275 + 0.121341 - 0.121424  TF = 0.0282138, Ngobs = 4
135  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 35
136  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 12
137  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 68
138  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 14
139  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 10
140  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 8
141  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 2
142  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 4
143  0.366811 +/- 0.366811 + 0.0578307 - 0.0561165  TF = 0.366811, Ngobs = 1
144  0.348699 +/- 0.348699 + 0.0764722 - 0.0753092  TF = 0.348699, Ngobs = 0
