
66  0.949629 +/- 0.0408655 + 0.343444 - 0.342331  TF = 0.00175857, Ngobs = 540
67  2.03218 +/- 0.0556606 + 0.736547 - 0.735732  TF = 0.00152452, Ngobs = 1333
68  0.295509 +/- 0.0220259 + 0.107766 - 0.107649  TF = 0.00164172, Ngobs = 180
69  0.495577 +/- 0.0307344 + 0.184485 - 0.183984  TF = 0.00190607, Ngobs = 260
70  0.052102 +/- 0.00967509 + 0.0200616 - 0.0200107  TF = 0.00179662, Ngobs = 29
71  287.791 +/- 11.1601 + 29.484 - 28.9956  TF = 0.432769, Ngobs = 665
72  268.682 +/- 9.78483 + 26.0432 - 25.5609  TF = 0.356342, Ngobs = 754
73  36.9568 +/- 3.85301 + 4.23767 - 4.18174  TF = 0.401704, Ngobs = 92
74  201.115 +/- 9.40774 + 19.5328 - 19.1725  TF = 0.440075, Ngobs = 457
75  516.67 +/- 13.6582 + 46.9634 - 45.973  TF = 0.361055, Ngobs = 1431
76  70.9287 +/- 5.02801 + 7.05393 - 6.92988  TF = 0.356426, Ngobs = 199
77  55.6514 +/- 4.33246 + 5.56226 - 5.46542  TF = 0.337281, Ngobs = 165
78  21.2051 +/- 2.5715 + 2.59776 - 2.56775  TF = 0.31184, Ngobs = 68
79  10.6222 +/- 1.97249 + 1.59156 - 1.5647  TF = 0.366282, Ngobs = 29
80  5.63902 +/- 1.40976 + 1.50838 - 1.50043  TF = 0.352439, Ngobs = 16
81  97.849 +/- 3.79442 + 16.1529 - 16.0503  TF = 0.147141, Ngobs = 665
82  91.0295 +/- 3.3151 + 14.7205 - 14.6232  TF = 0.120729, Ngobs = 754
83  12.4766 +/- 1.30078 + 2.15753 - 2.14506  TF = 0.135615, Ngobs = 92
84  68.4594 +/- 3.20239 + 11.0786 - 11.0055  TF = 0.149802, Ngobs = 457
85  175.1 +/- 4.62877 + 27.6954 - 27.5038  TF = 0.122362, Ngobs = 1431
86  23.9668 +/- 1.69896 + 3.91224 - 3.88684  TF = 0.120436, Ngobs = 199
87  18.8547 +/- 1.46784 + 3.08348 - 3.06354  TF = 0.114271, Ngobs = 165
88  7.17157 +/- 0.86968 + 1.27813 - 1.27118  TF = 0.105464, Ngobs = 68
89  3.61048 +/- 0.670449 + 0.714889 - 0.708004  TF = 0.124499, Ngobs = 29
90  1.89528 +/- 0.473819 + 0.563205 - 0.560804  TF = 0.118455, Ngobs = 16
91  21.6707 +/- 0.840353 + 5.3745 - 5.35942  TF = 0.0325875, Ngobs = 665
92  20.2049 +/- 0.735819 + 4.96594 - 4.95175  TF = 0.0267969, Ngobs = 754
93  2.77545 +/- 0.289361 + 0.703019 - 0.701128  TF = 0.030168, Ngobs = 92
94  15.1439 +/- 0.708403 + 3.72322 - 3.71258  TF = 0.0331377, Ngobs = 457
95  38.8536 +/- 1.0271 + 9.45942 - 9.43187  TF = 0.0271514, Ngobs = 1431
96  5.32675 +/- 0.377603 + 1.31456 - 1.31083  TF = 0.0267676, Ngobs = 199
97  4.18499 +/- 0.325801 + 1.03363 - 1.0307  TF = 0.0253636, Ngobs = 165
98  1.59462 +/- 0.193377 + 0.409728 - 0.408657  TF = 0.0234504, Ngobs = 68
99  0.799851 +/- 0.148529 + 0.216791 - 0.215679  TF = 0.0275811, Ngobs = 29
100  0.422927 +/- 0.105732 + 0.148062 - 0.147607  TF = 0.0264329, Ngobs = 16
101  2.6189 +/- 0.101557 + 1.63362 - 1.63289  TF = 0.0039382, Ngobs = 665
102  2.17633 +/- 0.0792571 + 1.35563 - 1.35502  TF = 0.00288637, Ngobs = 754
103  0.269784 +/- 0.028127 + 0.168859 - 0.168784  TF = 0.00293244, Ngobs = 92
104  1.89048 +/- 0.0884328 + 1.17763 - 1.17711  TF = 0.00413671, Ngobs = 457
105  4.28836 +/- 0.113363 + 2.6673 - 2.66612  TF = 0.00299676, Ngobs = 1431
106  0.531965 +/- 0.03771 + 0.331571 - 0.331424  TF = 0.00267319, Ngobs = 199
107  0.456342 +/- 0.0355261 + 0.284471 - 0.284345  TF = 0.00276571, Ngobs = 165
108  0.163279 +/- 0.0198005 + 0.102439 - 0.102394  TF = 0.00240117, Ngobs = 68
109  0.0955997 +/- 0.0177524 + 0.0605423 - 0.0604855  TF = 0.00329654, Ngobs = 29
110  0.034398 +/- 0.00859951 + 0.0230789 - 0.0230596  TF = 0.00214988, Ngobs = 16
111  24.9484 +/- 3.07093 + 3.14886 - 3.07005  TF = 0.378006, Ngobs = 66
112  7.60762 +/- 1.62195 + 1.50425 - 1.48902  TF = 0.345801, Ngobs = 22
113  43.6495 +/- 4.08815 + 5.20383 - 5.05762  TF = 0.38289, Ngobs = 114
114  13.4936 +/- 2.16071 + 1.79498 - 1.75459  TF = 0.34599, Ngobs = 39
115  3.84288 +/- 1.06582 + 0.837799 - 0.83083  TF = 0.295606, Ngobs = 13
116  3.59273 +/- 0.996445 + 0.630214 - 0.622098  TF = 0.276364, Ngobs = 13
117  1.63252 +/- 0.730084 + 0.321744 - 0.318466  TF = 0.326504, Ngobs = 5
118  0.371467 +/- 0.371467 + 0.0965211 - 0.0976521  TF = 0.371467, Ngobs = 1
119  36.3523 +/- 4.47466 + 14.5474 - 14.5115  TF = 0.550792, Ngobs = 66
120  10.023 +/- 2.13692 + 4.29132 - 4.28209  TF = 0.455593, Ngobs = 22
121  61.0787 +/- 5.72055 + 24.3109 - 24.2504  TF = 0.535778, Ngobs = 114
122  18.4296 +/- 2.95109 + 7.41563 - 7.39758  TF = 0.472553, Ngobs = 39
123  5.92956 +/- 1.64456 + 2.59645 - 2.59112  TF = 0.45612, Ngobs = 13
124  4.90696 +/- 1.36094 + 2.05262 - 2.048  TF = 0.377458, Ngobs = 13
125  1.53555 +/- 0.686717 + 0.656981 - 0.655566  TF = 0.307109, Ngobs = 5
126  0.17823 +/- 0.17823 + 0.0820104 - 0.0823181  TF = 0.17823, Ngobs = 1
127  12.7361 +/- 1.56771 + 6.42446 - 6.41451  TF = 0.192972, Ngobs = 66
128  4.80802 +/- 1.02507 + 2.5333 - 2.5297  TF = 0.218546, Ngobs = 22
129  24.4786 +/- 2.29263 + 12.306 - 12.2868  TF = 0.214725, Ngobs = 114
130  7.95988 +/- 1.2746 + 4.02908 - 4.02289  TF = 0.204099, Ngobs = 39
131  1.67434 +/- 0.464379 + 0.895493 - 0.89426  TF = 0.128795, Ngobs = 13
132  2.11935 +/- 0.587803 + 1.09979 - 1.09818  TF = 0.163027, Ngobs = 13
133  1.56738 +/- 0.700954 + 0.825459 - 0.824286  TF = 0.313476, Ngobs = 5
134  0.505641 +/- 0.505641 + 0.279722 - 0.280448  TF = 0.505641, Ngobs = 1
135  1.8387 +/- 0.226328 + 1.96449 - 1.96382  TF = 0.027859, Ngobs = 66
136  0.480041 +/- 0.102345 + 0.518062 - 0.517887  TF = 0.02182, Ngobs = 22
137  3.02491 +/- 0.283309 + 3.22943 - 3.22832  TF = 0.0265343, Ngobs = 114
138  0.901373 +/- 0.144335 + 0.963787 - 0.963455  TF = 0.0231121, Ngobs = 39
139  0.307814 +/- 0.0853723 + 0.333395 - 0.333283  TF = 0.023678, Ngobs = 13
140  0.239995 +/- 0.0665625 + 0.258076 - 0.257988  TF = 0.0184611, Ngobs = 13
141  0.0566484 +/- 0.0253339 + 0.0611285 - 0.0611078  TF = 0.0113297, Ngobs = 5
142  0.0268942 +/- 0.0268942 + 0.0293764 - 0.0293959  TF = 0.0268942, Ngobs = 1
143  2.28001 +/- 0.93081 + 0.359295 - 0.348636  TF = 0.380002, Ngobs = 6
144  1.38174 +/- 0.690872 + 0.302711 - 0.298097  TF = 0.345436, Ngobs = 4
145  1.15109 +/- 0.66458 + 0.175027 - 0.169443  TF = 0.383695, Ngobs = 3
146  1.7245 +/- 0.771219 + 0.281395 - 0.273617  TF = 0.3449, Ngobs = 5
147  0.305694 +/- 0.305694 + 0.0727878 - 0.0718499  TF = 0.305694, Ngobs = 0
148  0.278365 +/- 0.278365 + 0.0554798 - 0.0544566  TF = 0.278365, Ngobs = 1
149  0.335219 +/- 0.335219 + 0.0734077 - 0.0722881  TF = 0.335219, Ngobs = 0
150  0.371467 +/- 0.371467 + 0.102686 - 0.103307  TF = 0.371467, Ngobs = 1
151  3.11609 +/- 1.27214 + 1.90374 - 1.90003  TF = 0.519348, Ngobs = 6
152  1.67481 +/- 0.837406 + 1.05594 - 1.05401  TF = 0.418703, Ngobs = 4
153  1.4986 +/- 0.865217 + 0.914003 - 0.912218  TF = 0.499533, Ngobs = 3
154  2.18149 +/- 0.975592 + 1.33722 - 1.33463  TF = 0.436298, Ngobs = 5
155  0.447811 +/- 0.447811 + 0.284796 - 0.284284  TF = 0.447811, Ngobs = 0
156  0.352131 +/- 0.352131 + 0.21958 - 0.21917  TF = 0.352131, Ngobs = 1
157  0.275818 +/- 0.275818 + 0.17469 - 0.174373  TF = 0.275818, Ngobs = 0
158  0.147101 +/- 0.147101 + 0.0970431 - 0.0971465  TF = 0.147101, Ngobs = 1
159  1.95192 +/- 0.796866 + 1.21147 - 1.20919  TF = 0.325319, Ngobs = 6
160  1.40938 +/- 0.704689 + 0.902715 - 0.901117  TF = 0.352345, Ngobs = 4
161  1.06533 +/- 0.615069 + 0.660364 - 0.659116  TF = 0.35511, Ngobs = 3
162  1.66345 +/- 0.743918 + 1.03644 - 1.0345  TF = 0.33269, Ngobs = 5
163  0.228873 +/- 0.228873 + 0.147622 - 0.147364  TF = 0.228873, Ngobs = 0
164  0.268511 +/- 0.268511 + 0.170098 - 0.16979  TF = 0.268511, Ngobs = 1
165  0.471452 +/- 0.471452 + 0.304119 - 0.303588  TF = 0.471452, Ngobs = 0
166  0.665521 +/- 0.665521 + 0.448197 - 0.448655  TF = 0.665521, Ngobs = 1
167  0.207937 +/- 0.0848899 + 0.287953 - 0.287844  TF = 0.0346561, Ngobs = 6
168  0.101558 +/- 0.0507791 + 0.14169 - 0.141637  TF = 0.0253895, Ngobs = 4
169  0.0962308 +/- 0.0555589 + 0.13328 - 0.133229  TF = 0.0320769, Ngobs = 3
170  0.136925 +/- 0.0612348 + 0.189886 - 0.189814  TF = 0.027385, Ngobs = 5
171  0.0315782 +/- 0.0315782 + 0.0440537 - 0.0440372  TF = 0.0315782, Ngobs = 0
172  0.0221022 +/- 0.0221022 + 0.0307551 - 0.0307436  TF = 0.0221022, Ngobs = 1
173  0.0116656 +/- 0.0116656 + 0.016348 - 0.0163419  TF = 0.0116656, Ngobs = 0
174  0.023031 +/- 0.023031 + 0.0327123 - 0.0327198  TF = 0.023031, Ngobs = 1
