
66  0.971889 +/- 0.0418235 + 0.410891 - 0.409996  TF = 0.00179979, Ngobs = 540
67  2.10025 +/- 0.0575248 + 0.887614 - 0.886894  TF = 0.00157558, Ngobs = 1333
68  0.305252 +/- 0.0227521 + 0.129596 - 0.129492  TF = 0.00169584, Ngobs = 180
69  0.511613 +/- 0.0317289 + 0.219808 - 0.219359  TF = 0.00196774, Ngobs = 260
70  0.0539168 +/- 0.0100121 + 0.0237655 - 0.0237193  TF = 0.0018592, Ngobs = 29
71  291.464 +/- 11.3025 + 26.8486 - 26.2922  TF = 0.438291, Ngobs = 665
72  273.98 +/- 9.97778 + 23.5504 - 22.989  TF = 0.363369, Ngobs = 754
73  37.7949 +/- 3.9404 + 3.98872 - 3.9259  TF = 0.410815, Ngobs = 92
74  204.953 +/- 9.58731 + 17.6561 - 17.2371  TF = 0.448475, Ngobs = 457
75  526.24 +/- 13.9112 + 41.6048 - 40.43  TF = 0.367743, Ngobs = 1431
76  72.6041 +/- 5.14677 + 6.44476 - 6.30082  TF = 0.364845, Ngobs = 199
77  57.5444 +/- 4.47982 + 5.15267 - 5.0396  TF = 0.348754, Ngobs = 165
78  21.9265 +/- 2.65897 + 2.50359 - 2.46994  TF = 0.322448, Ngobs = 68
79  10.969 +/- 2.03689 + 1.49107 - 1.46033  TF = 0.378242, Ngobs = 29
80  5.79828 +/- 1.44957 + 1.50721 - 1.49878  TF = 0.362393, Ngobs = 16
81  99.1268 +/- 3.84397 + 20.5173 - 20.4338  TF = 0.149063, Ngobs = 665
82  92.8246 +/- 3.38047 + 18.9653 - 18.8861  TF = 0.12311, Ngobs = 754
83  12.7634 +/- 1.33067 + 2.72231 - 2.71188  TF = 0.138732, Ngobs = 92
84  69.7661 +/- 3.26352 + 14.2597 - 14.2002  TF = 0.152661, Ngobs = 457
85  178.343 +/- 4.7145 + 35.9377 - 35.7833  TF = 0.124628, Ngobs = 1431
86  24.5329 +/- 1.73909 + 5.04178 - 5.02097  TF = 0.123281, Ngobs = 199
87  19.496 +/- 1.51776 + 4.01321 - 3.9967  TF = 0.118158, Ngobs = 165
88  7.41553 +/- 0.899265 + 1.61435 - 1.60841  TF = 0.109052, Ngobs = 68
89  3.72837 +/- 0.69234 + 0.856986 - 0.850848  TF = 0.128564, Ngobs = 29
90  1.9488 +/- 0.487201 + 0.622169 - 0.619863  TF = 0.1218, Ngobs = 16
91  21.9472 +/- 0.851077 + 5.88896 - 5.87471  TF = 0.0330033, Ngobs = 665
92  20.6033 +/- 0.750329 + 5.48609 - 5.4726  TF = 0.0273254, Ngobs = 754
93  2.8384 +/- 0.295924 + 0.775512 - 0.773702  TF = 0.0308522, Ngobs = 92
94  15.433 +/- 0.721925 + 4.11032 - 4.10022  TF = 0.0337702, Ngobs = 457
95  39.5732 +/- 1.04612 + 10.4523 - 10.4262  TF = 0.0276542, Ngobs = 1431
96  5.45257 +/- 0.386522 + 1.45688 - 1.45333  TF = 0.0273999, Ngobs = 199
97  4.32734 +/- 0.336883 + 1.15735 - 1.15453  TF = 0.0262263, Ngobs = 165
98  1.64887 +/- 0.199955 + 0.456202 - 0.455164  TF = 0.0242481, Ngobs = 68
99  0.825967 +/- 0.153378 + 0.236507 - 0.235417  TF = 0.0284816, Ngobs = 29
100  0.434871 +/- 0.108718 + 0.157446 - 0.156992  TF = 0.0271794, Ngobs = 16
101  2.68147 +/- 0.103983 + 1.77279 - 1.77209  TF = 0.00403228, Ngobs = 665
102  2.21924 +/- 0.08082 + 1.46536 - 1.46478  TF = 0.00294329, Ngobs = 754
103  0.275903 +/- 0.0287649 + 0.18296 - 0.182888  TF = 0.00299895, Ngobs = 92
104  1.92656 +/- 0.0901207 + 1.27215 - 1.27164  TF = 0.00421567, Ngobs = 457
105  4.36779 +/- 0.115463 + 2.88028 - 2.87912  TF = 0.00305226, Ngobs = 1431
106  0.544531 +/- 0.0386008 + 0.359755 - 0.359612  TF = 0.00273634, Ngobs = 199
107  0.471864 +/- 0.0367346 + 0.311796 - 0.311671  TF = 0.00285978, Ngobs = 165
108  0.168834 +/- 0.0204741 + 0.1122 - 0.112156  TF = 0.00248285, Ngobs = 68
109  0.0987211 +/- 0.018332 + 0.0660092 - 0.0659535  TF = 0.00340418, Ngobs = 29
110  0.0353695 +/- 0.00884238 + 0.0249142 - 0.0248952  TF = 0.00221059, Ngobs = 16
111  25.4137 +/- 3.12822 + 3.01031 - 2.92384  TF = 0.385057, Ngobs = 66
112  7.7721 +/- 1.65702 + 1.49898 - 1.48288  TF = 0.353277, Ngobs = 22
113  44.4575 +/- 4.16383 + 4.93259 - 4.77078  TF = 0.389978, Ngobs = 114
114  13.8123 +/- 2.21174 + 1.73569 - 1.69146  TF = 0.354162, Ngobs = 39
115  3.96532 +/- 1.09978 + 0.847381 - 0.839977  TF = 0.305025, Ngobs = 13
116  3.71111 +/- 1.02928 + 0.630963 - 0.622232  TF = 0.28547, Ngobs = 13
117  1.68409 +/- 0.753147 + 0.323871 - 0.320374  TF = 0.336817, Ngobs = 5
118  0.381958 +/- 0.381958 + 0.0978717 - 0.0990457  TF = 0.381958, Ngobs = 1
119  37.0304 +/- 4.55812 + 15.5282 - 15.493  TF = 0.561066, Ngobs = 66
120  10.2397 +/- 2.18312 + 4.56799 - 4.55887  TF = 0.465443, Ngobs = 22
121  62.2094 +/- 5.82644 + 25.9587 - 25.8994  TF = 0.545696, Ngobs = 114
122  18.8649 +/- 3.0208 + 7.95022 - 7.93242  TF = 0.483715, Ngobs = 39
123  6.11849 +/- 1.69696 + 2.78696 - 2.78162  TF = 0.470653, Ngobs = 13
