

  Kqcd_ht1   0.062 +/- 0.010
  Kqcd_ht2   0.048 +/- 0.008
  Kqcd_ht3   0.036 +/- 0.006
  Kqcd_mht1   1.000 +/- 0.000
  Kqcd_mht2   0.472 +/- 0.130
  Kqcd_mht3   0.328 +/- 0.160
  Kqcd_mht4   0.308 +/- 0.300
  Kqcd_njets1   1.000 +/- 0.000
  Kqcd_njets2   1.450 +/- 0.150
  Kqcd_njets3   1.450 +/- 0.220
  Kqcd_njets4   2.110 +/- 0.400
  Kqcd_njets5   4.000 +/- 2.000




       Search bin          Nqcd_ldp   Rqcd       R*N     Kht1   Kht2   Kht3   Kmht2  Kmht3  Kmht4   Knj2   Knj3   Knj4  Knj5
 47 SB-Njet2-Nb3-HTMHT5        0.29   0.025        0.01    -      -    1.167    -    1.488    -      -      -    1.190    -   
 48 SB-Njet2-Nb3-HTMHT6        0.05   0.023        0.00    -    1.000  1.167    -      -    1.974    -      -    1.190    -   
 49 SB-Njet3-Nb0-HTMHT1        0.00   0.183        0.00  1.161    -      -    1.088    -      -      -      -      -    1.500 
 50 SB-Njet3-Nb0-HTMHT2        4.10   0.168        0.69    -    1.167    -    1.035    -      -      -      -      -    1.500 
 51 SB-Njet3-Nb0-HTMHT3       41.67   0.125        5.19    -      -    1.167  1.038    -      -      -      -      -    1.500 
 52 SB-Njet3-Nb0-HTMHT4        0.00   0.072        0.00  1.091  1.073    -      -    1.488    -      -      -      -    1.500 
 53 SB-Njet3-Nb0-HTMHT5        0.38   0.047        0.02    -      -    1.167    -    1.488    -      -      -      -    1.500 
 54 SB-Njet3-Nb0-HTMHT6        0.11   0.044        0.00    -    1.000  1.167    -      -    1.974    -      -      -    1.500 
 55 SB-Njet3-Nb1-HTMHT1        0.00   0.183        0.00  1.161    -      -    1.088    -      -      -      -      -    1.500 
 56 SB-Njet3-Nb1-HTMHT2       25.72   0.148        3.79    -    1.167    -    1.074    -      -      -      -      -    1.500 
 57 SB-Njet3-Nb1-HTMHT3       42.35   0.133        5.62    -      -    1.167  1.021    -      -      -      -      -    1.500 
 58 SB-Njet3-Nb1-HTMHT4        0.00   0.072        0.00  1.091  1.073    -      -    1.488    -      -      -      -    1.500 
 59 SB-Njet3-Nb1-HTMHT5        0.52   0.047        0.02    -      -    1.167    -    1.488    -      -      -      -    1.500 
 60 SB-Njet3-Nb1-HTMHT6        0.03   0.044        0.00    -    1.000  1.167    -      -    1.974    -      -      -    1.500 
 61 SB-Njet3-Nb2-HTMHT1        0.00   0.183        0.00  1.161    -      -    1.088    -      -      -      -      -    1.500 
 62 SB-Njet3-Nb2-HTMHT2        0.88   0.192        0.17    -    1.167    -    1.000    -      -      -      -      -    1.500 
 63 SB-Njet3-Nb2-HTMHT3       15.18   0.129        1.96    -      -    1.167  1.029    -      -      -      -      -    1.500 
 64 SB-Njet3-Nb2-HTMHT4        0.00   0.072        0.00  1.091  1.073    -      -    1.488    -      -      -      -    1.500 
 65 SB-Njet3-Nb2-HTMHT5        0.09   0.047        0.00    -      -    1.167    -    1.488    -      -      -      -    1.500 
 66 SB-Njet3-Nb2-HTMHT6        0.00   0.052        0.00    -    1.095  1.071    -      -    1.974    -      -      -    1.500 
 67 SB-Njet3-Nb3-HTMHT1        0.00   0.183        0.00  1.161    -      -    1.088    -      -      -      -      -    1.500 
 68 SB-Njet3-Nb3-HTMHT2        0.88   0.192        0.17    -    1.167    -    1.000    -      -      -      -      -    1.500 
 69 SB-Njet3-Nb3-HTMHT3        3.19   0.115        0.37    -      -    1.167  1.063    -      -      -      -      -    1.500 
 70 SB-Njet3-Nb3-HTMHT4        0.00   0.072        0.00  1.091  1.073    -      -    1.488    -      -      -      -    1.500 
 71 SB-Njet3-Nb3-HTMHT5        0.00   0.047        0.00    -      -    1.167    -    1.488    -      -      -      -    1.500 
 72 SB-Njet3-Nb3-HTMHT6        0.00   0.052        0.00    -    1.095  1.071    -      -    1.974    -      -      -    1.500 
