 j b k| | Nmumu |  Nee  | Nb/0b | stat  |MC stat| ttz SF| syst+ | syst- | sysKin| sysPur
 4 2 2| |      0|      0| 0.0000| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0504
 4 2 4| |      0|      0| 0.0000| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0504
 4 2 5| |      0|      0| 0.0000| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0504
 4 2 6| |      0|      0| 0.0000| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0504
 4 2 7| |      0|      0| 0.0000| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0504
 4 2 8| |      0|      0| 0.0000| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0504
 4 2 9| |      0|      0| 0.0000| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0504
 4 3 1| |      0|      0| 0.0000| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0504
 4 3 2| |      0|      0| 0.0000| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0504
 4 3 4| |      0|      0| 0.0000| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0504
 4 3 5| |      0|      0| 0.0000| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0504
 4 3 6| |      0|      0| 0.0000| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0504
 4 3 7| |      0|      0| 0.0000| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0504
 4 3 8| |      0|      0| 0.0000| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0504
 4 3 9| |      0|      0| 0.0000| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0504
