
1  91654.3 +/- 191.697 + 5013.79 - 4976.58  TF = 0.400939, Ngobs = 228599
2  4881.41 +/- 43.1005 + 292.879 - 289.477  TF = 0.380557, Ngobs = 12827
3  323.111 +/- 11.7748 + 37.6235 - 36.434  TF = 0.429099, Ngobs = 753
4  80607.2 +/- 181.941 + 4412.29 - 4379.59  TF = 0.410662, Ngobs = 196286
5  14532.5 +/- 75.4498 + 864.644 - 854.432  TF = 0.391721, Ngobs = 37099
6  692.17 +/- 16.7043 + 78.0084 - 75.3729  TF = 0.403128, Ngobs = 1717
7  6333.28 +/- 50.9739 + 426.179 - 412.393  TF = 0.410267, Ngobs = 15437
8  237.908 +/- 9.8871 + 18.9186 - 18.4824  TF = 0.410894, Ngobs = 579
9  1190.45 +/- 24.3406 + 134.089 - 129.554  TF = 0.497681, Ngobs = 2392
10  65.6287 +/- 6.17383 + 9.39137 - 9.22086  TF = 0.580785, Ngobs = 113
11  9055.45 +/- 18.9397 + 819.414 - 817.197  TF = 0.0396128, Ngobs = 228599
12  542.812 +/- 4.79278 + 50.9075 - 50.6664  TF = 0.0423179, Ngobs = 12827
13  36.1562 +/- 1.3176 + 4.95145 - 4.83879  TF = 0.0480161, Ngobs = 753
14  7939.81 +/- 17.9211 + 718.629 - 716.686  TF = 0.0404502, Ngobs = 196286
15  1597.12 +/- 8.29193 + 149.274 - 148.562  TF = 0.0430501, Ngobs = 37099
16  77.5231 +/- 1.87088 + 10.3711 - 10.1237  TF = 0.0451503, Ngobs = 1717
17  643.462 +/- 5.17894 + 63.4517 - 62.5043  TF = 0.0416831, Ngobs = 15437
18  26.2174 +/- 1.08956 + 2.81386 - 2.77843  TF = 0.0452805, Ngobs = 579
19  121.783 +/- 2.49005 + 16.2857 - 15.8969  TF = 0.0509128, Ngobs = 2392
20  7.18634 +/- 0.676034 + 1.15145 - 1.13481  TF = 0.063596, Ngobs = 113
21  834.055 +/- 1.74445 + 105.23 - 105.084  TF = 0.00364855, Ngobs = 228599
22  59.5531 +/- 0.525826 + 7.65565 - 7.63637  TF = 0.0046428, Ngobs = 12827
23  4.00658 +/- 0.146008 + 0.65203 - 0.641559  TF = 0.00532082, Ngobs = 753
24  725.465 +/- 1.63746 + 91.5407 - 91.4134  TF = 0.00369596, Ngobs = 196286
25  172.936 +/- 0.897853 + 22.1909 - 22.1348  TF = 0.00466148, Ngobs = 37099
26  8.58291 +/- 0.207133 + 1.374 - 1.35119  TF = 0.00499878, Ngobs = 1717
27  62.0662 +/- 0.499544 + 8.19975 - 8.13177  TF = 0.00402061, Ngobs = 15437
28  2.85489 +/- 0.118645 + 0.396092 - 0.393115  TF = 0.00493073, Ngobs = 579
29  11.9045 +/- 0.243406 + 1.9052 - 1.87356  TF = 0.00497681, Ngobs = 2392
30  0.774419 +/- 0.0728512 + 0.141536 - 0.139966  TF = 0.00685326, Ngobs = 113
31  14702.9 +/- 75.6145 + 957.088 - 944.112  TF = 0.388873, Ngobs = 37809
32  3743.42 +/- 36.1266 + 252.993 - 249.813  TF = 0.348646, Ngobs = 10737
33  320.764 +/- 11.2914 + 37.4043 - 36.2252  TF = 0.397477, Ngobs = 807
34  12022.3 +/- 68.8926 + 766.133 - 755.292  TF = 0.394782, Ngobs = 30453
35  9115.42 +/- 58.0564 + 585.254 - 577.096  TF = 0.369764, Ngobs = 24652
36  688.035 +/- 16.1723 + 77.9309 - 75.3246  TF = 0.38013, Ngobs = 1810
37  1661.41 +/- 25.1067 + 113.329 - 109.763  TF = 0.379404, Ngobs = 4379
38  218.737 +/- 9.06696 + 17.2157 - 16.8104  TF = 0.375837, Ngobs = 582
39  392.385 +/- 13.3184 + 45.6931 - 44.2487  TF = 0.452057, Ngobs = 868
40  44.6152 +/- 4.50682 + 5.91438 - 5.78906  TF = 0.455258, Ngobs = 98
41  2722.98 +/- 14.0038 + 270.656 - 269.088  TF = 0.0720193, Ngobs = 37809
42  724.351 +/- 6.99049 + 73.1915 - 72.7813  TF = 0.0674631, Ngobs = 10737
43  63.3187 +/- 2.22893 + 8.78291 - 8.58817  TF = 0.0784619, Ngobs = 807
44  2222.92 +/- 12.7382 + 218.971 - 217.68  TF = 0.0729952, Ngobs = 30453
45  1751.98 +/- 11.1584 + 173.125 - 172.11  TF = 0.0710686, Ngobs = 24652
46  135.956 +/- 3.19564 + 18.4778 - 18.0508  TF = 0.0751136, Ngobs = 1810
47  314.172 +/- 4.74767 + 31.8779 - 31.4285  TF = 0.0717452, Ngobs = 4379
48  42.8725 +/- 1.77712 + 4.66442 - 4.60728  TF = 0.0736641, Ngobs = 582
49  73.8077 +/- 2.5052 + 10.2279 - 10.0006  TF = 0.0850319, Ngobs = 868
50  8.72228 +/- 0.881083 + 1.32899 - 1.30773  TF = 0.0890029, Ngobs = 98
51  433.735 +/- 2.23063 + 59.0512 - 58.8692  TF = 0.0114718, Ngobs = 37809
52  118.292 +/- 1.1416 + 16.2477 - 16.1985  TF = 0.0110172, Ngobs = 10737
53  10.4569 +/- 0.3681 + 1.74653 - 1.71991  TF = 0.0129577, Ngobs = 807
54  353.456 +/- 2.02544 + 47.892 - 47.7429  TF = 0.0116066, Ngobs = 30453
55  285.313 +/- 1.81717 + 38.7233 - 38.6031  TF = 0.0115736, Ngobs = 24652
56  22.4987 +/- 0.528833 + 3.70563 - 3.64755  TF = 0.0124302, Ngobs = 1810
57  50.673 +/- 0.765753 + 6.97582 - 6.92257  TF = 0.0115718, Ngobs = 4379
