    32 NJets0-BTags3-MHT0-HT1     17      7.30    2.24  0.0840    0.81    -     1.345   -       -      -      -       -      -      1.580   -      -      -       -      -      -      -       1.456   0.0840  0.0684 ,     0.81   0.77   
    33 NJets0-BTags3-MHT0-HT2     12      0.90    0.55  0.0782    0.87    -      -     1.238    -      -      -       -      -       -      -      -      -      1.150   -      -      -       1.762   0.0782  0.0635 ,     0.87   0.76   
    34 NJets0-BTags3-MHT1-HT3      0      1.10    0.77  0.2477   -0.27   1.731   -      -       -      -      -       -     2.000    -      -      -      -       -      -      -      -        -      0.2477  0.3069 ,    -0.27   0.00   
    35 NJets0-BTags3-MHT1-HT4      8      9.50    2.91  0.0356   -0.05    -     1.345   -       -      -      -       -      -       -     1.700   -      -       -      -      -      -        -      0.0356  0.0278 ,    -0.05   0.00   
    36 NJets0-BTags3-MHT1-HT5     18      2.00    0.85  0.0399    0.64    -      -     1.238    -      -      -       -      -       -      -      -      -       -     1.210   -      -       1.669   0.0399  0.0296 ,     0.64   0.50   
    37 NJets0-BTags3-MHT2-HT6      1      1.50    0.80  0.0717   -0.04    -     1.345   -       -      -      -       -      -       -      -     2.110   -       -      -      -      -        -      0.0717  0.0833 ,    -0.04   0.00   
    38 NJets0-BTags3-MHT2-HT7      2      0.80    0.73  0.0512    0.06    -      -     1.238    -      -      -       -      -       -      -      -      -       -      -     1.570   -       1.775   0.0512  0.0507 ,     0.06   0.10   
    39 NJets0-BTags3-MHT3-HT8      0      0.10    0.50  0.2059   -0.02    -     1.345   -       -      -      -       -      -       -      -      -     1.880    -      -      -      -       1.645   0.2059  0.2356 ,    -0.02   0.00   
    40 NJets0-BTags3-MHT3-HT9      0      0.00    0.50  0.0065    0.00    -      -     1.238    -      -      -       -      -       -      -      -      -       -      -      -     1.560     -      0.0065  0.0040 ,     0.00   0.00   
    41 NJets1-BTags0-MHT0-HT0     66     37.80    4.46  0.5401   15.23   1.731   -      -      1.320   -      -      1.770   -       -      -      -      -       -      -      -      -        -      0.5401  0.5991 ,    15.23  17.62   
    42 NJets1-BTags0-MHT0-HT1    736    279.20   17.99  0.0735   33.57    -     1.345   -      1.320   -      -       -      -      1.580   -      -      -       -      -      -      -       1.038   0.0735  0.0550 ,    33.57  25.22   
    43 NJets1-BTags0-MHT0-HT2    946     66.00    5.49  0.0288   25.36    -      -     1.238   1.320   -      -       -      -       -      -      -      -      1.150   -      -      -       1.002   0.0288  0.0123 ,    25.36  10.85   
    44 NJets1-BTags0-MHT1-HT3     15      6.50    1.53  0.3835    3.26   1.731   -      -      1.320   -      -       -     2.000    -      -      -      -       -      -      -      -        -      0.3835  0.4907 ,     3.26   4.47   
    45 NJets1-BTags0-MHT1-HT4    478    241.10   15.90  0.0613   14.51    -     1.345   -      1.320   -      -       -      -       -     1.700   -      -       -      -      -      -       1.100   0.0613  0.0520 ,    14.51  12.44   
    46 NJets1-BTags0-MHT1-HT5    829    106.20    9.27  0.0237   17.10    -      -     1.238   1.320   -      -       -      -       -      -      -      -       -     1.210   -      -       1.137   0.0237  0.0111 ,    17.10   8.09   
    47 NJets1-BTags0-MHT2-HT6     45     33.40    3.56  0.1110    1.29    -     1.345   -      1.320   -      -       -      -       -      -     2.110   -       -      -      -      -        -      0.1110  0.1338 ,     1.29   1.77   
    48 NJets1-BTags0-MHT2-HT7    181     41.70    4.29  0.0178    2.48    -      -     1.238   1.320   -      -       -      -       -      -      -      -       -      -     1.570   -        -      0.0178  0.0124 ,     2.48   1.75   
    49 NJets1-BTags0-MHT3-HT8      3      6.50    1.53  0.1131   -0.40    -     1.345   -      1.320   -      -       -      -       -      -      -     1.880    -      -      -      -        -      0.1131  0.1129 ,    -0.40   0.00   
    50 NJets1-BTags0-MHT3-HT9     21      7.20    2.36  0.0119    0.16    -      -     1.238   1.320   -      -       -      -       -      -      -      -       -      -      -     1.560    1.154   0.0119  0.0084 ,     0.16   0.13   
    51 NJets1-BTags1-MHT0-HT0     23     18.10    2.89  0.7901    3.87   1.731   -      -      1.320   -      -      1.770   -       -      -      -      -       -      -      -      -       1.316   0.7901  0.9113 ,     3.87   6.29   
    52 NJets1-BTags1-MHT0-HT1    425    189.40   14.68  0.0707   16.65    -     1.345   -      1.320   -      -       -      -      1.580   -      -      -       -      -      -      -        -      0.0707  0.0528 ,    16.65  12.57   
    53 NJets1-BTags1-MHT0-HT2    501     60.60    6.04  0.0291   12.81    -      -     1.238   1.320   -      -       -      -       -      -      -      -      1.150   -      -      -       1.011   0.0291  0.0124 ,    12.81   5.50   
    54 NJets1-BTags1-MHT1-HT3      6      3.90    1.13  0.3835    0.81   1.731   -      -      1.320   -      -       -     2.000    -      -      -      -       -      -      -      -        -      0.3835  0.4907 ,     0.81   1.46   
    55 NJets1-BTags1-MHT1-HT4    246    142.10   12.05  0.0551    5.73    -     1.345   -      1.320   -      -       -      -       -     1.700   -      -       -      -      -      -        -      0.0551  0.0465 ,     5.73   4.95   
    56 NJets1-BTags1-MHT1-HT5    433     89.50    8.12  0.0204    7.01    -      -     1.238   1.320   -      -       -      -       -      -      -      -       -     1.210   -      -        -      0.0204  0.0092 ,     7.01   3.20   
    57 NJets1-BTags1-MHT2-HT6     19     16.30    2.23  0.1110    0.30    -     1.345   -      1.320   -      -       -      -       -      -     2.110   -       -      -      -      -        -      0.1110  0.1338 ,     0.30   0.65   
    58 NJets1-BTags1-MHT2-HT7     87     29.10    3.86  0.0178    1.03    -      -     1.238   1.320   -      -       -      -       -      -      -      -       -      -     1.570   -        -      0.0178  0.0124 ,     1.03   0.74   
    59 NJets1-BTags1-MHT3-HT8      5      2.20    0.79  0.1131    0.32    -     1.345   -      1.320   -      -       -      -       -      -      -     1.880    -      -      -      -        -      0.1131  0.1129 ,     0.32   0.41   
    60 NJets1-BTags1-MHT3-HT9     14      3.70    1.49  0.0185    0.19    -      -     1.238   1.320   -      -       -      -       -      -      -      -       -      -      -     1.560    1.454   0.0185  0.0152 ,     0.19   0.17   
    61 NJets1-BTags2-MHT0-HT0      4      5.70    1.52  0.5401   -0.92   1.731   -      -      1.320   -      -      1.770   -       -      -      -      -       -      -      -      -        -      0.5401  0.5991 ,    -0.92   0.00   
    62 NJets1-BTags2-MHT0-HT1    136     87.80    7.55  0.0707    3.41    -     1.345   -      1.320   -      -       -      -      1.580   -      -      -       -      -      -      -        -      0.0707  0.0528 ,     3.41   2.73   
    63 NJets1-BTags2-MHT0-HT2    153     30.40    3.91  0.0288    3.53    -      -     1.238   1.320   -      -       -      -       -      -      -      -      1.150   -      -      -        -      0.0288  0.0123 ,     3.53   1.55   
    64 NJets1-BTags2-MHT1-HT3      3      1.10    0.72  0.3835    0.73   1.731   -      -      1.320   -      -       -     2.000    -      -      -      -       -      -      -      -        -      0.3835  0.4907 ,     0.73   1.18   
    65 NJets1-BTags2-MHT1-HT4    100     61.60    6.17  0.0551    2.12    -     1.345   -      1.320   -      -       -      -       -     1.700   -      -       -      -      -      -        -      0.0551  0.0465 ,     2.12   1.90   
    66 NJets1-BTags2-MHT1-HT5    126     46.40    4.96  0.0204    1.63    -      -     1.238   1.320   -      -       -      -       -      -      -      -       -     1.210   -      -        -      0.0204  0.0092 ,     1.63   0.77   
    67 NJets1-BTags2-MHT2-HT6      7      4.30    1.06  0.1110    0.30    -     1.345   -      1.320   -      -       -      -       -      -     2.110   -       -      -      -      -        -      0.1110  0.1338 ,     0.30   0.48   
    68 NJets1-BTags2-MHT2-HT7     24     12.90    2.47  0.0216    0.24    -      -     1.238   1.320   -      -       -      -       -      -      -      -       -      -     1.570   -       1.175   0.0216  0.0155 ,     0.24   0.21   
    69 NJets1-BTags2-MHT3-HT8      1      0.80    0.62  0.1131    0.02    -     1.345   -      1.320   -      -       -      -       -      -      -     1.880    -      -      -      -        -      0.1131  0.1129 ,     0.02   0.14   
    70 NJets1-BTags2-MHT3-HT9      1      0.60    0.58  0.0101    0.00    -      -     1.238   1.320   -      -       -      -       -      -      -      -       -      -      -     1.560     -      0.0101  0.0069 ,     0.00   0.01   
    71 NJets1-BTags3-MHT0-HT0      1      0.50    0.52  0.5401    0.27   1.731   -      -      1.320   -      -      1.770   -       -      -      -      -       -      -      -      -        -      0.5401  0.5991 ,     0.27   0.68   
    72 NJets1-BTags3-MHT0-HT1     27     15.10    2.88  0.1443    1.72    -     1.345   -      1.320   -      -       -      -      1.580   -      -      -       -      -      -      -       1.510   0.1443  0.1306 ,     1.72   1.77   
    73 NJets1-BTags3-MHT0-HT2     21      6.70    1.76  0.0422    0.60    -      -     1.238   1.320   -      -       -      -       -      -      -      -      1.150   -      -      -       1.318   0.0422  0.0225 ,     0.60   0.38   
    74 NJets1-BTags3-MHT1-HT3      0      0.20    0.54  0.3835   -0.08   1.731   -      -      1.320   -      -       -     2.000    -      -      -      -       -      -      -      -        -      0.3835  0.4907 ,    -0.08   0.00   
    75 NJets1-BTags3-MHT1-HT4     18     11.00    2.20  0.0551    0.39    -     1.345   -      1.320   -      -       -      -       -     1.700   -      -       -      -      -      -        -      0.0551  0.0465 ,     0.39   0.42   
    76 NJets1-BTags3-MHT1-HT5     33      8.80    2.09  0.0580    1.40    -      -     1.238   1.320   -      -       -      -       -      -      -      -       -     1.210   -      -       1.648   0.0580  0.0458 ,     1.40   1.16   
    77 NJets1-BTags3-MHT2-HT6      1      0.50    0.55  0.1110    0.06    -     1.345   -      1.320   -      -       -      -       -      -     2.110   -       -      -      -      -        -      0.1110  0.1338 ,     0.06   0.14   
    78 NJets1-BTags3-MHT2-HT7      9      1.10    0.65  0.0178    0.14    -      -     1.238   1.320   -      -       -      -       -      -      -      -       -      -     1.570   -        -      0.0178  0.0124 ,     0.14   0.11   
    79 NJets1-BTags3-MHT3-HT8      0      0.00    0.50  0.1131    0.00    -     1.345   -      1.320   -      -       -      -       -      -      -     1.880    -      -      -      -        -      0.1131  0.1129 ,     0.00   0.00   
    80 NJets1-BTags3-MHT3-HT9      0      0.00    0.50  0.0101    0.00    -      -     1.238   1.320   -      -       -      -       -      -      -      -       -      -      -     1.560     -      0.0101  0.0069 ,     0.00   0.00   
    81 NJets2-BTags0-MHT0-HT0      2      0.50    0.62  0.0000    0.00   1.731   -      -       -     1.382   -      1.770   -       -      -      -      -       -      -      -      -        -      0.0000  0.0000 ,     0.00   0.00   
    82 NJets2-BTags0-MHT0-HT1     66     24.00    3.13  0.1690    7.10    -     1.345   -       -     1.382   -       -      -      1.580   -      -      -       -      -      -      -       1.178   0.1690  0.1345 ,     7.10   5.84   
    83 NJets2-BTags0-MHT0-HT2    181     18.70    2.49  0.0656   10.65    -      -     1.238    -     1.382   -       -      -       -      -      -      -      1.150   -      -      -       1.139   0.0656  0.0324 ,    10.65   5.34   
    84 NJets2-BTags0-MHT1-HT3      0      0.40    0.67  0.0000   -0.00   1.731   -      -       -     1.382   -       -     2.000    -      -      -      -       -      -      -      -        -      0.0000  0.0000 ,    -0.00   0.00   
    85 NJets2-BTags0-MHT1-HT4     39     18.50    2.88  0.2020    4.14    -     1.345   -       -     1.382   -       -      -       -     1.700   -      -       -      -      -      -       1.464   0.2020  0.1989 ,     4.14   4.31   
    86 NJets2-BTags0-MHT1-HT5    162     22.10    2.84  0.0426    5.96    -      -     1.238    -     1.382   -       -      -       -      -      -      -       -     1.210   -      -       1.059   0.0426  0.0213 ,     5.96   3.03   
    87 NJets2-BTags0-MHT2-HT6      4      2.30    1.00  0.2181    0.37    -     1.345   -       -     1.382   -       -      -       -      -     2.110   -       -      -      -      -        -      0.2181  0.2668 ,     0.37   0.67   
    88 NJets2-BTags0-MHT2-HT7     32     10.10    1.81  0.0350    0.77    -      -     1.238    -     1.382   -       -      -       -      -      -      -       -      -     1.570   -        -      0.0350  0.0254 ,     0.77   0.59   
    89 NJets2-BTags0-MHT3-HT8      1      0.80    0.57  0.2222    0.04    -     1.345   -       -     1.382   -       -      -       -      -      -     1.880    -      -      -      -        -      0.2222  0.2265 ,     0.04   0.26   
