
1  22776.8 +/- 94.2356 + 1268.66 - 1260.26  TF = 0.389886, Ngobs = 58419
2  1264.4 +/- 21.9605 + 71.0873 - 70.6253  TF = 0.381418, Ngobs = 3315
3  78.0342 +/- 5.55971 + 6.22565 - 5.79717  TF = 0.396113, Ngobs = 197
4  19505.3 +/- 87.7336 + 1071.3 - 1056.76  TF = 0.39462, Ngobs = 49428
5  3683.68 +/- 37.9902 + 203.911 - 201.147  TF = 0.391797, Ngobs = 9402
6  165.513 +/- 8.25506 + 12.6161 - 11.6615  TF = 0.411725, Ngobs = 402
7  1553.4 +/- 25.2929 + 125.798 - 122.982  TF = 0.411825, Ngobs = 3772
8  64.9232 +/- 5.44823 + 5.77527 - 5.66836  TF = 0.457205, Ngobs = 142
9  262.902 +/- 10.7509 + 30.0289 - 29.1512  TF = 0.439636, Ngobs = 598
10  14.2935 +/- 2.75079 + 2.02905 - 1.99085  TF = 0.529391, Ngobs = 27
11  2605.66 +/- 10.7806 + 246.599 - 246.034  TF = 0.044603, Ngobs = 58419
12  157.291 +/- 2.73189 + 14.9345 - 14.9005  TF = 0.0474484, Ngobs = 3315
13  9.63722 +/- 0.686624 + 1.0653 - 1.02776  TF = 0.0489199, Ngobs = 197
14  2227.5 +/- 10.0192 + 209.797 - 208.833  TF = 0.0450656, Ngobs = 49428
15  455.671 +/- 4.69939 + 43.0324 - 42.8328  TF = 0.0484653, Ngobs = 9402
16  20.7719 +/- 1.03601 + 2.2434 - 2.16051  TF = 0.0516715, Ngobs = 402
17  181.127 +/- 2.94915 + 20.1794 - 19.9421  TF = 0.0480187, Ngobs = 3772
18  7.99204 +/- 0.670677 + 0.937738 - 0.927801  TF = 0.056282, Ngobs = 142
19  30.9962 +/- 1.26753 + 4.26133 - 4.17575  TF = 0.051833, Ngobs = 598
20  1.74953 +/- 0.336697 + 0.282133 - 0.278027  TF = 0.0647974, Ngobs = 27
21  191.325 +/- 0.791579 + 29.8649 - 29.8398  TF = 0.00327504, Ngobs = 58419
22  14.1613 +/- 0.245958 + 2.21316 - 2.2113  TF = 0.00427188, Ngobs = 3315
23  0.850573 +/- 0.0606008 + 0.14138 - 0.139199  TF = 0.00431763, Ngobs = 197
24  161.894 +/- 0.728189 + 25.2263 - 25.184  TF = 0.00327535, Ngobs = 49428
25  40.5205 +/- 0.417892 + 6.32008 - 6.30936  TF = 0.00430977, Ngobs = 9402
26  1.9034 +/- 0.0949332 + 0.313186 - 0.308254  TF = 0.00473484, Ngobs = 402
27  13.9806 +/- 0.227636 + 2.33193 - 2.31973  TF = 0.00370642, Ngobs = 3772
28  0.70117 +/- 0.0588409 + 0.119767 - 0.11917  TF = 0.00493782, Ngobs = 142
29  2.44499 +/- 0.099983 + 0.452882 - 0.447894  TF = 0.00408861, Ngobs = 598
30  0.151512 +/- 0.0291584 + 0.0308335 - 0.0305524  TF = 0.00561154, Ngobs = 27
31  3472.15 +/- 36.1466 + 219.747 - 216.676  TF = 0.376303, Ngobs = 9227
32  978.847 +/- 18.8834 + 64.3375 - 63.5041  TF = 0.36429, Ngobs = 2687
33  76.6229 +/- 5.55881 + 6.07672 - 5.65328  TF = 0.403278, Ngobs = 190
34  2955.11 +/- 34.1045 + 182.359 - 179.677  TF = 0.393595, Ngobs = 7508
35  2321.74 +/- 29.9088 + 144.72 - 142.634  TF = 0.385287, Ngobs = 6026
36  172.851 +/- 8.37464 + 13.246 - 12.2548  TF = 0.405752, Ngobs = 426
37  441.645 +/- 13.6425 + 35.9766 - 35.181  TF = 0.421417, Ngobs = 1048
38  64.4 +/- 5.42346 + 5.68073 - 5.57377  TF = 0.456738, Ngobs = 141
39  86.6382 +/- 6.15711 + 10.0701 - 9.78602  TF = 0.437567, Ngobs = 198
40  15.2464 +/- 2.93418 + 2.2189 - 2.17918  TF = 0.564683, Ngobs = 27
41  642.347 +/- 6.68713 + 69.1787 - 68.8463  TF = 0.069616, Ngobs = 9227
42  190.973 +/- 3.68416 + 20.8443 - 20.7468  TF = 0.071073, Ngobs = 2687
43  15.2939 +/- 1.10954 + 1.802 - 1.74624  TF = 0.0804943, Ngobs = 190
44  545.513 +/- 6.29569 + 58.248 - 57.9632  TF = 0.0726576, Ngobs = 7508
45  448.56 +/- 5.77838 + 48.0577 - 47.8243  TF = 0.0744374, Ngobs = 6026
46  34.1898 +/- 1.6565 + 3.96745 - 3.8408  TF = 0.0802578, Ngobs = 426
47  83.78 +/- 2.58797 + 9.99371 - 9.89126  TF = 0.0799428, Ngobs = 1048
48  12.8027 +/- 1.07818 + 1.58744 - 1.57239  TF = 0.0907994, Ngobs = 141
49  16.106 +/- 1.14461 + 2.3397 - 2.29766  TF = 0.0813437, Ngobs = 198
50  2.99745 +/- 0.57686 + 0.508453 - 0.501769  TF = 0.111017, Ngobs = 27
51  111.109 +/- 1.15669 + 18.2904 - 18.2529  TF = 0.0120417, Ngobs = 9227
52  32.7914 +/- 0.632595 + 5.42928 - 5.41826  TF = 0.0122037, Ngobs = 2687
53  2.6205 +/- 0.190111 + 0.449192 - 0.442679  TF = 0.0137921, Ngobs = 190
54  94.5635 +/- 1.09134 + 15.51 - 15.4779  TF = 0.012595, Ngobs = 7508
55  77.3139 +/- 0.995962 + 12.699 - 12.6728  TF = 0.01283, Ngobs = 6026
56  5.87692 +/- 0.284738 + 1.00022 - 0.985501  TF = 0.0137956, Ngobs = 426
57  14.4418 +/- 0.446108 + 2.49008 - 2.47789  TF = 0.0137803, Ngobs = 1048
58  2.19604 +/- 0.18494 + 0.385869 - 0.384051  TF = 0.0155748, Ngobs = 141
59  2.78975 +/- 0.198259 + 0.533735 - 0.528227  TF = 0.0140897, Ngobs = 198
60  0.51533 +/- 0.0991752 + 0.108433 - 0.107508  TF = 0.0190863, Ngobs = 27
61  9.3748 +/- 0.0975959 + 4.06811 - 4.06691  TF = 0.00101602, Ngobs = 9227
