
66  0.456717 +/- 0.022128 + 0.201546 - 0.199872  TF = 0.00107211, Ngobs = 426
67  1.17207 +/- 0.0362054 + 0.51018 - 0.509162  TF = 0.00111839, Ngobs = 1048
68  0.170174 +/- 0.0143313 + 0.0742971 - 0.0741497  TF = 0.00120691, Ngobs = 141
69  0.228511 +/- 0.0162396 + 0.100955 - 0.100119  TF = 0.0011541, Ngobs = 198
70  0.0402851 +/- 0.00775288 + 0.0180709 - 0.0179359  TF = 0.00149204, Ngobs = 27
71  179.901 +/- 8.24574 + 21.2614 - 20.1432  TF = 0.377943, Ngobs = 476
72  224.178 +/- 9.09912 + 25.4918 - 24.0404  TF = 0.369322, Ngobs = 607
73  30.8046 +/- 3.58096 + 3.75639 - 3.57113  TF = 0.416279, Ngobs = 74
74  143.083 +/- 7.80582 + 16.2829 - 15.3573  TF = 0.425843, Ngobs = 336
75  413.078 +/- 12.7116 + 44.9964 - 42.1969  TF = 0.391173, Ngobs = 1056
76  71.5105 +/- 5.31534 + 8.10549 - 7.64091  TF = 0.395086, Ngobs = 181
77  52.1318 +/- 4.66281 + 5.91261 - 5.57415  TF = 0.417054, Ngobs = 125
78  16.9163 +/- 2.61024 + 2.14621 - 2.04862  TF = 0.402769, Ngobs = 42
79  12.7967 +/- 2.29835 + 1.66678 - 1.59496  TF = 0.412796, Ngobs = 31
80  3.66291 +/- 1.29503 + 0.805049 - 0.793038  TF = 0.457863, Ngobs = 8
81  61.3282 +/- 2.81097 + 11.2628 - 11.0214  TF = 0.128841, Ngobs = 476
82  77.207 +/- 3.13374 + 13.9593 - 13.6504  TF = 0.127194, Ngobs = 607
83  10.6492 +/- 1.23794 + 1.9817 - 1.94033  TF = 0.143908, Ngobs = 74
84  48.9773 +/- 2.67193 + 8.85797 - 8.66211  TF = 0.145766, Ngobs = 336
85  142.016 +/- 4.37025 + 25.2553 - 24.6775  TF = 0.134485, Ngobs = 1056
86  24.6139 +/- 1.82954 + 4.44462 - 4.34603  TF = 0.135989, Ngobs = 181
87  17.8864 +/- 1.59981 + 3.2306 - 3.15897  TF = 0.143091, Ngobs = 125
88  5.87504 +/- 0.906538 + 1.11248 - 1.09006  TF = 0.139882, Ngobs = 42
89  4.35471 +/- 0.782128 + 0.834522 - 0.818107  TF = 0.140474, Ngobs = 31
90  1.25967 +/- 0.445362 + 0.328638 - 0.325166  TF = 0.157459, Ngobs = 8
91  16.5149 +/- 0.756958 + 4.19775 - 4.15101  TF = 0.0346951, Ngobs = 476
92  22.5075 +/- 0.913552 + 5.67485 - 5.61064  TF = 0.0370799, Ngobs = 607
93  3.19444 +/- 0.371346 + 0.817613 - 0.808636  TF = 0.0431681, Ngobs = 74
94  13.6358 +/- 0.743895 + 3.43856 - 3.39966  TF = 0.0405828, Ngobs = 336
95  40.8947 +/- 1.25845 + 10.2241 - 10.1065  TF = 0.0387261, Ngobs = 1056
96  7.1439 +/- 0.531002 + 1.80003 - 1.77963  TF = 0.0394691, Ngobs = 181
97  5.062 +/- 0.452759 + 1.27561 - 1.26116  TF = 0.040496, Ngobs = 125
98  1.82189 +/- 0.281123 + 0.470655 - 0.465583  TF = 0.0433783, Ngobs = 42
99  1.15554 +/- 0.207541 + 0.300452 - 0.297256  TF = 0.0372755, Ngobs = 31
100  0.362628 +/- 0.128208 + 0.114066 - 0.113239  TF = 0.0453285, Ngobs = 8
101  2.77047 +/- 0.126984 + 1.41286 - 1.40897  TF = 0.00582032, Ngobs = 476
102  3.94554 +/- 0.160145 + 2.0081 - 2.00254  TF = 0.00650007, Ngobs = 607
103  0.569885 +/- 0.0662478 + 0.291129 - 0.29033  TF = 0.00770116, Ngobs = 74
104  2.33225 +/- 0.127235 + 1.18706 - 1.18377  TF = 0.00694123, Ngobs = 336
105  7.10495 +/- 0.21864 + 3.60865 - 3.59863  TF = 0.00672817, Ngobs = 1056
106  1.25143 +/- 0.0930184 + 0.63682 - 0.635059  TF = 0.006914, Ngobs = 181
