
66  0.465901 +/- 0.022573 + 0.227344 - 0.226973  TF = 0.00109366, Ngobs = 426
67  1.18541 +/- 0.0366175 + 0.578486 - 0.578135  TF = 0.00113112, Ngobs = 1048
68  0.172895 +/- 0.0145604 + 0.0845761 - 0.0845249  TF = 0.0012262, Ngobs = 141
69  0.231393 +/- 0.0164444 + 0.114249 - 0.114072  TF = 0.00116865, Ngobs = 198
70  0.0407088 +/- 0.00783441 + 0.0204135 - 0.0203829  TF = 0.00150773, Ngobs = 27
71  179.52 +/- 8.2283 + 16.316 - 15.9686  TF = 0.377144, Ngobs = 476
72  228.129 +/- 9.25946 + 19.3888 - 18.916  TF = 0.37583, Ngobs = 607
73  31.5831 +/- 3.67147 + 3.02324 - 2.96527  TF = 0.426799, Ngobs = 74
74  142.911 +/- 7.79644 + 12.163 - 11.8672  TF = 0.425331, Ngobs = 336
75  419.849 +/- 12.92 + 32.9484 - 32.0039  TF = 0.397584, Ngobs = 1056
76  73.2547 +/- 5.44498 + 6.19012 - 6.03738  TF = 0.404722, Ngobs = 181
77  52.8506 +/- 4.7271 + 4.47089 - 4.36082  TF = 0.422805, Ngobs = 125
78  17.2027 +/- 2.65443 + 1.75345 - 1.72383  TF = 0.409587, Ngobs = 42
79  12.9892 +/- 2.33294 + 1.57245 - 1.53146  TF = 0.419008, Ngobs = 31
80  3.69392 +/- 1.306 + 0.792212 - 0.78569  TF = 0.461739, Ngobs = 8
81  61.4678 +/- 2.81737 + 13.1288 - 13.0786  TF = 0.129134, Ngobs = 476
82  78.8641 +/- 3.20099 + 16.6519 - 16.5867  TF = 0.129924, Ngobs = 607
83  10.9562 +/- 1.27363 + 2.36314 - 2.35429  TF = 0.148057, Ngobs = 74
84  49.1185 +/- 2.67964 + 10.3735 - 10.333  TF = 0.146186, Ngobs = 336
85  144.89 +/- 4.45868 + 30.2254 - 30.1043  TF = 0.137206, Ngobs = 1056
86  25.3095 +/- 1.88124 + 5.33903 - 5.31811  TF = 0.139831, Ngobs = 181
87  18.2017 +/- 1.62801 + 3.84034 - 3.82529  TF = 0.145614, Ngobs = 125
88  5.99341 +/- 0.924803 + 1.30965 - 1.30487  TF = 0.1427, Ngobs = 42
89  4.44102 +/- 0.797631 + 1.01285 - 1.00548  TF = 0.143259, Ngobs = 31
90  1.27477 +/- 0.450699 + 0.36804 - 0.366372  TF = 0.159346, Ngobs = 8
91  16.5518 +/- 0.758649 + 4.42277 - 4.41198  TF = 0.0347726, Ngobs = 476
92  22.9954 +/- 0.933353 + 6.09977 - 6.08467  TF = 0.0378836, Ngobs = 607
93  3.28465 +/- 0.381833 + 0.883215 - 0.881086  TF = 0.0443871, Ngobs = 74
94  13.6623 +/- 0.74534 + 3.62459 - 3.61562  TF = 0.0406616, Ngobs = 336
95  41.691 +/- 1.28295 + 10.975 - 10.9474  TF = 0.0394801, Ngobs = 1056
96  7.34012 +/- 0.545587 + 1.9459 - 1.94107  TF = 0.0405531, Ngobs = 181
97  5.15293 +/- 0.460892 + 1.36622 - 1.36283  TF = 0.0412235, Ngobs = 125
98  1.85789 +/- 0.286678 + 0.503791 - 0.502597  TF = 0.0442354, Ngobs = 42
99  1.17812 +/- 0.211597 + 0.328599 - 0.327003  TF = 0.038004, Ngobs = 31
100  0.367175 +/- 0.129816 + 0.121298 - 0.120878  TF = 0.0458969, Ngobs = 8
101  2.78256 +/- 0.127539 + 1.53535 - 1.53447  TF = 0.00584572, Ngobs = 476
102  4.03788 +/- 0.163892 + 2.2242 - 2.22292  TF = 0.00665219, Ngobs = 607
103  0.584288 +/- 0.0679221 + 0.322872 - 0.322688  TF = 0.00789579, Ngobs = 74
104  2.34374 +/- 0.127862 + 1.29105 - 1.29031  TF = 0.00697542, Ngobs = 336
105  7.26339 +/- 0.223515 + 3.99389 - 3.99159  TF = 0.00687821, Ngobs = 1056
106  1.28196 +/- 0.0952871 + 0.706048 - 0.705643  TF = 0.00708264, Ngobs = 181
107  0.88789 +/- 0.0794153 + 0.489025 - 0.488744  TF = 0.00710312, Ngobs = 125
108  0.335452 +/- 0.0517614 + 0.18574 - 0.185634  TF = 0.00798695, Ngobs = 42
109  0.196138 +/- 0.0352273 + 0.109354 - 0.109221  TF = 0.00632702, Ngobs = 31
110  0.0639047 +/- 0.0225937 + 0.0373823 - 0.0373411  TF = 0.00798809, Ngobs = 8
111  19.9545 +/- 2.822 + 2.3483 - 2.27995  TF = 0.399091, Ngobs = 50
112  6.19997 +/- 1.50371 + 1.16421 - 1.15102  TF = 0.364704, Ngobs = 17
113  38.2882 +/- 4.0137 + 4.23107 - 4.09113  TF = 0.42075, Ngobs = 91
114  14.5363 +/- 2.38975 + 1.78371 - 1.73602  TF = 0.392872, Ngobs = 37
115  2.9522 +/- 1.04376 + 0.6252 - 0.619638  TF = 0.369024, Ngobs = 8
116  1.09342 +/- 0.631284 + 0.17754 - 0.174845  TF = 0.364472, Ngobs = 3
