
66  0.346846 +/- 0.0200252 + 0.188575 - 0.188327  TF = 0.00115615, Ngobs = 300
67  0.792967 +/- 0.0289744 + 0.431069 - 0.430858  TF = 0.0010587, Ngobs = 749
68  0.119165 +/- 0.01126 + 0.064957 - 0.0649253  TF = 0.00106397, Ngobs = 112
69  0.198092 +/- 0.0161205 + 0.108767 - 0.108631  TF = 0.00131187, Ngobs = 151
70  0.0182264 +/- 0.00505508 + 0.0101672 - 0.0101549  TF = 0.00140203, Ngobs = 13
71  156.468 +/- 7.85293 + 14.3461 - 14.046  TF = 0.394127, Ngobs = 397
72  140.569 +/- 6.78675 + 12.0863 - 11.7983  TF = 0.327668, Ngobs = 429
73  17.7476 +/- 2.56164 + 1.8619 - 1.83222  TF = 0.369741, Ngobs = 48
74  116.436 +/- 6.88503 + 10.0334 - 9.7954  TF = 0.40712, Ngobs = 286
75  258.432 +/- 9.33753 + 20.4342 - 19.8572  TF = 0.337379, Ngobs = 766
76  34.4766 +/- 3.41369 + 3.06048 - 2.99213  TF = 0.338006, Ngobs = 102
77  29.4364 +/- 3.08577 + 2.62056 - 2.56237  TF = 0.323477, Ngobs = 91
78  7.68366 +/- 1.50689 + 0.871669 - 0.859801  TF = 0.295525, Ngobs = 26
79  5.66699 +/- 1.41675 + 0.769402 - 0.753498  TF = 0.354187, Ngobs = 16
80  1.35282 +/- 0.676412 + 0.350456 - 0.348481  TF = 0.338206, Ngobs = 4
81  31.3406 +/- 1.57294 + 7.8216 - 7.79972  TF = 0.0789436, Ngobs = 397
82  28.395 +/- 1.37092 + 7.02856 - 7.00857  TF = 0.0661888, Ngobs = 429
83  3.60986 +/- 0.521038 + 0.919512 - 0.917042  TF = 0.0752053, Ngobs = 48
84  23.2291 +/- 1.37356 + 5.75137 - 5.73502  TF = 0.0812205, Ngobs = 286
85  52.074 +/- 1.88151 + 12.7692 - 12.7322  TF = 0.0679818, Ngobs = 766
86  6.98151 +/- 0.691272 + 1.73498 - 1.73008  TF = 0.0684462, Ngobs = 102
