Bin &  HT    & MHT    & NJets & BTags & N_CS_mu+N_CS_elec & Pred.Weight+-stat.unc.+sysUp-sysDown & Prediction+-stat.unc.+sysUp-sysDown \\
42 & 800-99999 & 750-9999 & 4-6 & 2-2 & 1.4252 & 0.248+-0.0225+0-0 & 0.38201+-0.31999+0.1146-0.1146 \\
43 & 500-800 & 200-500 & 7-8 & 2-2 & 484.95 & 0.327+-0.00314+0-0 & 159.57+-7.2462+47.871-47.871 \\
44 & 800-1200 & 200-500 & 7-8 & 2-2 & 263.24 & 0.311+-0.00406+0-0 & 83.43+-5.1421+25.029-25.029 \\
45 & 1200-99999 & 200-500 & 7-8 & 2-2 & 66.315 & 0.313+-0.00849+0-0 & 21.225+-2.6064+6.3675-6.3675 \\
46 & 500-1200 & 500-750 & 7-8 & 2-2 & 6.9347 & 0.226+-0.0145+0-0 & 1.5624+-0.59329+0.46871-0.46871 \\
47 & 1200-99999 & 500-750 & 7-8 & 2-2 & 5.1084 & 0.264+-0.0227+0-0 & 1.3681+-0.6053+0.41043-0.41043 \\
48 & 800-99999 & 750-9999 & 7-8 & 2-2 & 0.82218 & 0.199+-0.0223+0-0 & 0.16867+-0.18602+0.050601-0.050601 \\
49 & 500-800 & 200-500 & 9-9999 & 2-2 & 41.588 & 0.308+-0.00939+0-0 & 12.756+-1.9781+3.8269-3.8269 \\
50 & 800-1200 & 200-500 & 9-9999 & 2-2 & 73.53 & 0.31+-0.0069+0-0 & 22.724+-2.6501+6.8173-6.8173 \\
51 & 1200-99999 & 200-500 & 9-9999 & 2-2 & 34.88 & 0.29+-0.00967+0-0 & 10.394+-1.76+3.1183-3.1183 \\
52 & 500-1200 & 500-750 & 9-9999 & 2-2 & 1.2505 & 0.18+-0.0161+0-0 & 0.22505+-0.20126+0.067516-0.067516 \\
53 & 1200-99999 & 500-750 & 9-9999 & 2-2 & 2.3406 & 0.268+-0.0461+0-0 & 0.62729+-0.41002+0.18819-0.18819 \\
54 & 800-99999 & 750-9999 & 9-9999 & 2-2 & 0.20527 & 0.205+-0.0286+0-0 & 0.042177+-0.093092+0.012653-0.012653 \\
55 & 500-800 & 200-500 & 4-6 & 3-9999 & 227.2 & 0.431+-0.00525+0-0 & 99.964+-6.6319+29.989-29.989 \\
56 & 800-1200 & 200-500 & 4-6 & 3-9999 & 55.32 & 0.442+-0.0107+0-0 & 25.119+-3.3772+7.5357-7.5357 \\
57 & 1200-99999 & 200-500 & 4-6 & 3-9999 & 8.7238 & 0.456+-0.0285+0-0 & 3.9169+-1.3261+1.1751-1.1751 \\
58 & 500-1200 & 500-750 & 4-6 & 3-9999 & 2.7101 & 0.516+-0.0637+0-0 & 1.3951+-0.84747+0.41854-0.41854 \\
59 & 1200-99999 & 500-750 & 4-6 & 3-9999 & 0.041053 & 0.215+-0.0451+0-0 & 0.0090078+-0.044457+0.0027023-0.0027023 \\
60 & 800-99999 & 750-9999 & 4-6 & 3-9999 & 0.25908 & 0.242+-0+0-0 & 0.062665+-0.12311+0.0188-0.0188 \\
61 & 500-800 & 200-500 & 7-8 & 3-9999 & 109.22 & 0.321+-0.00669+0-0 & 34.961+-3.3453+10.488-10.488 \\
62 & 800-1200 & 200-500 & 7-8 & 3-9999 & 73.969 & 0.321+-0.00869+0-0 & 24.132+-2.8058+7.2395-7.2395 \\
63 & 1200-99999 & 200-500 & 7-8 & 3-9999 & 17.1 & 0.287+-0.0122+0-0 & 4.9651+-1.2007+1.4895-1.4895 \\
64 & 500-1200 & 500-750 & 7-8 & 3-9999 & 0.48099 & 0.207+-0.0228+0-0 & 0.099571+-0.14357+0.029871-0.029871 \\
65 & 1200-99999 & 500-750 & 7-8 & 3-9999 & 0.67461 & 0.22+-0.0306+0-0 & 0.14833+-0.1806+0.0445-0.0445 \\
66 & 800-99999 & 750-9999 & 7-8 & 3-9999 & 0.31678 & 0.275+-0+0-0 & 0.087014+-0.1546+0.026104-0.026104 \\
67 & 500-800 & 200-500 & 9-9999 & 3-9999 & 18.04 & 0.315+-0.0163+0-0 & 5.7129+-1.3451+1.7139-1.7139 \\
68 & 800-1200 & 200-500 & 9-9999 & 3-9999 & 28.468 & 0.312+-0.014+0-0 & 9.0601+-1.6981+2.718-2.718 \\
69 & 1200-99999 & 200-500 & 9-9999 & 3-9999 & 13.875 & 0.29+-0.0126+0-0 & 4.1557+-1.1156+1.2467-1.2467 \\
70 & 500-1200 & 500-750 & 9-9999 & 3-9999 & 0.31678 & 0.373+-0+0-0 & 0.11814+-0.2099+0.035442-0.035442 \\
71 & 1200-99999 & 500-750 & 9-9999 & 3-9999 & 0.041053 & 0.134+-0+0-0 & 0.0054867+-0.027079+0.001646-0.001646 \\
72 & 800-99999 & 750-9999 & 9-9999 & 3-9999 & 0 & 0.205+-0.0286+0.0411-0.0411 & 0+--nan+0-0 \\

