Bin &  HT    & MHT    & NJets & BTags & N_CS_mu+N_CS_elec & Pred.Weight+-stat.unc.+sysUp-sysDown & Prediction+-stat.unc.+sysUp-sysDown \\
1 & 500-800 & 200-500 & 4-6 & -1-0 & 1254.4 & 0.396+-0.000815+0-0 & 500.21+-14.123+150.06-150.06 \\
2 & 800-1200 & 200-500 & 4-6 & -1-0 & 281.52 & 0.368+-0.00135+0-0 & 104.56+-6.2316+31.367-31.367 \\
3 & 1200-99999 & 200-500 & 4-6 & -1-0 & 63.87 & 0.347+-0.00233+0-0 & 22.642+-2.8331+6.7926-6.7926 \\
4 & 500-1200 & 500-750 & 4-6 & -1-0 & 57.04 & 0.38+-0.00294+0-0 & 21.871+-2.8959+6.5613-6.5613 \\
5 & 1200-99999 & 500-750 & 4-6 & -1-0 & 8.0114 & 0.301+-0.00541+0-0 & 2.4372+-0.86108+0.73117-0.73117 \\
6 & 800-99999 & 750-9999 & 4-6 & -1-0 & 7.4319 & 0.328+-0.00556+0-0 & 2.4581+-0.90169+0.73744-0.73744 \\
7 & 500-800 & 200-500 & 7-8 & -1-0 & 102.6 & 0.305+-0.00313+0-0 & 31.374+-3.0973+9.4122-9.4122 \\
8 & 800-1200 & 200-500 & 7-8 & -1-0 & 61.261 & 0.289+-0.00376+0-0 & 17.927+-2.2904+5.3781-5.3781 \\
9 & 1200-99999 & 200-500 & 7-8 & -1-0 & 18.963 & 0.265+-0.00521+0-0 & 5.1369+-1.1796+1.5411-1.5411 \\
10 & 500-1200 & 500-750 & 7-8 & -1-0 & 3.7466 & 0.226+-0.007+0-0 & 0.84764+-0.43792+0.25429-0.25429 \\
11 & 1200-99999 & 500-750 & 7-8 & -1-0 & 2.0871 & 0.184+-0.00909+0-0 & 0.39165+-0.2711+0.1175-0.1175 \\
12 & 800-99999 & 750-9999 & 7-8 & -1-0 & 0.84631 & 0.248+-0.0188+0-0 & 0.20682+-0.22481+0.062045-0.062045 \\
13 & 500-800 & 200-500 & 9-9999 & -1-0 & 5.3615 & 0.302+-0.0129+0-0 & 1.6343+-0.7058+0.49028-0.49028 \\
