Bin &  HT    & MHT    & NJets & BTags & N_CS_mu+N_CS_elec & Pred.Weight+-stat.unc.+sysUp-sysDown & Prediction+-stat.unc.+sysUp-sysDown \\
14 & 800-1200 & 200-500 & 9-9999 & -1-0 & 9.5934 & 0.273+-0.00871+0-0 & 2.6249+-0.84746+0.78746-0.78746 \\
15 & 1200-99999 & 200-500 & 9-9999 & -1-0 & 4.8763 & 0.238+-0.00905+0-0 & 1.1647+-0.52742+0.3494-0.3494 \\
16 & 500-1200 & 500-750 & 9-9999 & -1-0 & 0.50329 & 0.246+-0.0525+0-0 & 0.12489+-0.17604+0.037467-0.037467 \\
17 & 1200-99999 & 500-750 & 9-9999 & -1-0 & 0.38712 & 0.226+-0.0587+0-0 & 0.089043+-0.14311+0.026713-0.026713 \\
18 & 800-99999 & 750-9999 & 9-9999 & -1-0 & 0.073896 & 0.246+-0.0303+0-0 & 0.018164+-0.06682+0.0054493-0.0054493 \\
19 & 500-800 & 200-500 & 4-6 & 1-1 & 900.76 & 0.427+-0.0014+0-0 & 387.78+-12.921+116.33-116.33 \\
20 & 800-1200 & 200-500 & 4-6 & 1-1 & 181.65 & 0.398+-0.00279+0-0 & 73.424+-5.4477+22.027-22.027 \\
21 & 1200-99999 & 200-500 & 4-6 & 1-1 & 34.828 & 0.382+-0.00554+0-0 & 13.683+-2.3185+4.1048-4.1048 \\
22 & 500-1200 & 500-750 & 4-6 & 1-1 & 18.946 & 0.405+-0.00757+0-0 & 7.6544+-1.7585+2.2963-2.2963 \\
23 & 1200-99999 & 500-750 & 4-6 & 1-1 & 3.4016 & 0.324+-0.0133+0-0 & 1.1336+-0.61463+0.34008-0.34008 \\
24 & 800-99999 & 750-9999 & 4-6 & 1-1 & 2.2631 & 0.331+-0.0145+0-0 & 0.75051+-0.4989+0.22515-0.22515 \\
25 & 500-800 & 200-500 & 7-8 & 1-1 & 182.24 & 0.319+-0.00272+0-0 & 58.798+-4.3556+17.64-17.64 \\
26 & 800-1200 & 200-500 & 7-8 & 1-1 & 95.088 & 0.299+-0.00332+0-0 & 28.845+-2.958+8.6534-8.6534 \\
27 & 1200-99999 & 200-500 & 7-8 & 1-1 & 26.759 & 0.299+-0.00652+0-0 & 8.0574+-1.5576+2.4172-2.4172 \\
28 & 500-1200 & 500-750 & 7-8 & 1-1 & 2.7083 & 0.277+-0.0165+0-0 & 0.75699+-0.45999+0.2271-0.2271 \\
29 & 1200-99999 & 500-750 & 7-8 & 1-1 & 2.1225 & 0.252+-0.0253+0-0 & 0.53344+-0.36615+0.16003-0.16003 \\
30 & 800-99999 & 750-9999 & 7-8 & 1-1 & 0.2871 & 0.233+-0.0332+0-0 & 0.071202+-0.13288+0.02136-0.02136 \\
31 & 500-800 & 200-500 & 9-9999 & 1-1 & 15.348 & 0.339+-0.0106+0-0 & 5.2095+-1.3297+1.5628-1.5628 \\
32 & 800-1200 & 200-500 & 9-9999 & 1-1 & 22.634 & 0.302+-0.00767+0-0 & 6.9571+-1.4623+2.0871-2.0871 \\
33 & 1200-99999 & 200-500 & 9-9999 & 1-1 & 8.6815 & 0.285+-0.0082+0-0 & 2.5452+-0.86383+0.76357-0.76357 \\
34 & 500-1200 & 500-750 & 9-9999 & 1-1 & 0.086212 & 0.191+-0.0485+0-0 & 0.016448+-0.056019+0.0049345-0.0049345 \\
35 & 1200-99999 & 500-750 & 9-9999 & 1-1 & 0.713 & 0.233+-0.0399+0-0 & 0.17603+-0.20847+0.052809-0.052809 \\
36 & 800-99999 & 750-9999 & 9-9999 & 1-1 & 0.077725 & 0.281+-0+0-0 & 0.021846+-0.078359+0.0065538-0.0065538 \\
37 & 500-800 & 200-500 & 4-6 & 2-2 & 478.23 & 0.453+-0.00214+0-0 & 219.95+-10.058+65.984-65.984 \\
38 & 800-1200 & 200-500 & 4-6 & 2-2 & 97.794 & 0.434+-0.00451+0-0 & 43.44+-4.3927+13.032-13.032 \\
39 & 1200-99999 & 200-500 & 4-6 & 2-2 & 14.739 & 0.427+-0.0102+0-0 & 6.5706+-1.7115+1.9712-1.9712 \\
40 & 500-1200 & 500-750 & 4-6 & 2-2 & 6.8401 & 0.411+-0.0186+0-0 & 2.7917+-1.0674+0.83752-0.83752 \\
41 & 1200-99999 & 500-750 & 4-6 & 2-2 & 1.3113 & 0.342+-0.0273+0-0 & 0.47585+-0.41554+0.14276-0.14276 \\
42 & 800-99999 & 750-9999 & 4-6 & 2-2 & 0.42757 & 0.248+-0.0225+0-0 & 0.1146+-0.17526+0.03438-0.03438 \\
43 & 500-800 & 200-500 & 7-8 & 2-2 & 145.48 & 0.327+-0.00314+0-0 & 47.871+-3.9688+14.361-14.361 \\
44 & 800-1200 & 200-500 & 7-8 & 2-2 & 78.974 & 0.311+-0.00406+0-0 & 25.029+-2.8165+7.5087-7.5087 \\
45 & 1200-99999 & 200-500 & 7-8 & 2-2 & 19.894 & 0.313+-0.00849+0-0 & 6.3674+-1.4276+1.9102-1.9102 \\
46 & 500-1200 & 500-750 & 7-8 & 2-2 & 2.0804 & 0.226+-0.0145+0-0 & 0.4687+-0.32495+0.14061-0.14061 \\
47 & 1200-99999 & 500-750 & 7-8 & 2-2 & 1.5325 & 0.264+-0.0227+0-0 & 0.41043+-0.33154+0.12313-0.12313 \\
48 & 800-99999 & 750-9999 & 7-8 & 2-2 & 0.24665 & 0.199+-0.0223+0-0 & 0.0506+-0.10188+0.01518-0.01518 \\
49 & 500-800 & 200-500 & 9-9999 & 2-2 & 12.476 & 0.308+-0.00939+0-0 & 3.8269+-1.0834+1.1481-1.1481 \\
50 & 800-1200 & 200-500 & 9-9999 & 2-2 & 22.059 & 0.31+-0.0069+0-0 & 6.8174+-1.4515+2.0452-2.0452 \\
51 & 1200-99999 & 200-500 & 9-9999 & 2-2 & 10.464 & 0.29+-0.00967+0-0 & 3.1183+-0.96398+0.9355-0.9355 \\
52 & 500-1200 & 500-750 & 9-9999 & 2-2 & 0.37514 & 0.18+-0.0161+0-0 & 0.067515+-0.11023+0.020255-0.020255 \\
53 & 1200-99999 & 500-750 & 9-9999 & 2-2 & 0.70218 & 0.268+-0.0461+0-0 & 0.18819+-0.22458+0.056456-0.056456 \\
54 & 800-99999 & 750-9999 & 9-9999 & 2-2 & 0.06158 & 0.205+-0.0286+0-0 & 0.012653+-0.050987+0.0037958-0.0037958 \\
55 & 500-800 & 200-500 & 4-6 & 3-9999 & 68.162 & 0.431+-0.00525+0-0 & 29.983+-3.6316+8.9948-8.9948 \\
56 & 800-1200 & 200-500 & 4-6 & 3-9999 & 16.596 & 0.441+-0.0107+0-0 & 7.5343+-1.8494+2.2603-2.2603 \\
57 & 1200-99999 & 200-500 & 4-6 & 3-9999 & 2.6171 & 0.456+-0.0285+0-0 & 1.175+-0.72633+0.35251-0.35251 \\
58 & 500-1200 & 500-750 & 4-6 & 3-9999 & 0.81302 & 0.516+-0.0637+0-0 & 0.41854+-0.46418+0.12556-0.12556 \\
59 & 1200-99999 & 500-750 & 4-6 & 3-9999 & 0.012316 & 0.215+-0.0451+0-0 & 0.0027021+-0.024349+0.00081064-0.00081064 \\
60 & 800-99999 & 750-9999 & 4-6 & 3-9999 & 0.077725 & 0.242+-0+0-0 & 0.018799+-0.067431+0.0056397-0.0056397 \\
61 & 500-800 & 200-500 & 7-8 & 3-9999 & 32.765 & 0.321+-0.00669+0-0 & 10.488+-1.8323+3.1464-3.1464 \\
62 & 800-1200 & 200-500 & 7-8 & 3-9999 & 22.191 & 0.321+-0.00869+0-0 & 7.2395+-1.5368+2.1719-2.1719 \\
63 & 1200-99999 & 200-500 & 7-8 & 3-9999 & 5.13 & 0.287+-0.0122+0-0 & 1.4895+-0.65763+0.44685-0.44685 \\
64 & 500-1200 & 500-750 & 7-8 & 3-9999 & 0.1443 & 0.207+-0.0228+0-0 & 0.029871+-0.078636+0.0089614-0.0089614 \\
65 & 1200-99999 & 500-750 & 7-8 & 3-9999 & 0.20238 & 0.22+-0.0306+0-0 & 0.0445+-0.098917+0.01335-0.01335 \\
66 & 800-99999 & 750-9999 & 7-8 & 3-9999 & 0.095033 & 0.275+-0+0-0 & 0.026104+-0.084678+0.0078312-0.0078312 \\
67 & 500-800 & 200-500 & 9-9999 & 3-9999 & 5.4119 & 0.315+-0.0163+0-0 & 1.7138+-0.73671+0.51415-0.51415 \\
68 & 800-1200 & 200-500 & 9-9999 & 3-9999 & 8.5403 & 0.312+-0.014+0-0 & 2.718+-0.93008+0.81541-0.81541 \\
69 & 1200-99999 & 200-500 & 9-9999 & 3-9999 & 4.1626 & 0.29+-0.0126+0-0 & 1.2467+-0.61106+0.37401-0.37401 \\
70 & 500-1200 & 500-750 & 9-9999 & 3-9999 & 0.095033 & 0.373+-0+0-0 & 0.035442+-0.11497+0.010633-0.010633 \\
71 & 1200-99999 & 500-750 & 9-9999 & 3-9999 & 0.012316 & 0.134+-0+0-0 & 0.0016459+-0.014831+0.00049376-0.00049376 \\
72 & 800-99999 & 750-9999 & 9-9999 & 3-9999 & 0 & 0.205+-0.0286+0.0411-0.0411 & 0+--nan+0-0 \\

